# D = 10
# z-slice at iz = N/2 (z = p/2)
# x/p  y/p  delta  vx  vy  vz
0  0  0.384903  2.50777e-19  2.25269e-19  1.01074e-18
0  0.015625  0.382283  3.16731e-19  -0.000169006  -3.12719e-19
0  0.03125  0.371889  5.55046e-19  -0.000324129  1.50179e-19
0  0.046875  0.361015  1.55147e-19  -0.000452863  1.03942e-18
0  0.0625  0.340166  -7.08481e-20  -0.000549171  2.25856e-19
0  0.078125  0.319313  3.96832e-19  -0.000608615  5.59399e-19
0  0.09375  0.294757  2.32514e-19  -0.000633946  3.50442e-19
0  0.109375  0.262965  3.94884e-19  -0.000631547  8.55554e-19
0  0.125  0.230042  4.61592e-19  -0.000607402  4.06077e-19
0  0.140625  0.198791  1.22836e-19  -0.000569  2.4677e-19
0  0.15625  0.166716  1.82218e-19  -0.000524802  4.93892e-19
0  0.171875  0.132039  2.04683e-19  -0.000481804  5.27169e-19
0  0.1875  0.0959816  -5.11203e-20  -0.000444675  -3.44894e-19
0  0.203125  0.0610149  8.51525e-20  -0.000416279  3.00241e-19
0  0.21875  0.0287793  3.73458e-20  -0.000398364  4.0838e-19
0  0.234375  -0.000696789  1.00177e-19  -0.000391956  1.12343e-19
0  0.25  -0.0285798  -1.23937e-20  -0.000397474  -1.75031e-19
0  0.265625  -0.0561615  -1.83587e-19  -0.000414619  -2.4255e-19
0  0.28125  -0.0837062  -1.68887e-19  -0.000442119  -4.23784e-19
0  0.296875  -0.109915  8.79416e-20  -0.000477453  -1.93058e-19
0  0.3125  -0.132746  -2.07074e-19  -0.000516933  -4.12921e-19
0  0.328125  -0.151537  -5.75766e-20  -0.000556451  -7.50394e-19
0  0.34375  -0.168444  5.38406e-20  -0.000592395  -5.44619e-19
0  0.359375  -0.186126  -3.9578e-19  -0.000621161  -5.06146e-19
0  0.375  -0.202986  -2.58132e-19  -0.000637238  -5.03698e-19
0  0.390625  -0.214882  -6.10647e-20  -0.00063402  -5.21752e-19
0  0.40625  -0.224268  -1.4955e-19  -0.000608681  1.40022e-19
0  0.421875  -0.235769  5.54737e-21  -0.000560719  -8.2334e-19
0  0.4375  -0.243336  3.79158e-19  -0.000486874  -1.51924e-18
0  0.453125  -0.248385  1.67074e-19  -0.000389193  -4.90418e-19
0  0.46875  -0.25574  -5.79731e-19  -0.000272478  4.76263e-22
0  0.484375  -0.256312  -4.74664e-19  -0.000139955  -1.92601e-18
0  0.5  -0.259637  4.92513e-19  -2.83072e-19  -1.03767e-18
0  0.515625  -0.256312  -2.20367e-19  0.000139955  -7.55185e-20
0  0.53125  -0.25574  -5.7997e-19  0.000272478  4.80287e-19
0  0.546875  -0.248385  -4.68528e-19  0.000389193  -5.48984e-19
0  0.5625  -0.243336  -7.7537e-20  0.000486874  -1.55974e-18
0  0.578125  -0.235769  -1.15002e-19  0.000560719  -8.73412e-19
0  0.59375  -0.224268  4.321e-19  0.000608681  -8.96918e-20
0  0.609375  -0.214882  -2.03549e-20  0.00063402  9.94269e-20
0  0.625  -0.202986  -1.73011e-19  0.000637238  -3.88582e-19
0  0.640625  -0.186126  -3.48e-19  0.000621161  -8.06758e-19
0  0.65625  -0.168444  -1.73948e-19  0.000592395  -2.44352e-20
0  0.671875  -0.151537  -2.17504e-19  0.000556451  -8.12001e-19
