# D = 50
# z-slice at iz = N/2 (z = p/2)
# x/p  y/p  delta  vx  vy  vz
0  0  7.06838  8.2495e-19  1.24704e-18  1.32123e-18
0  0.015625  6.60651  6.76653e-19  -0.000268207  2.87233e-19
0  0.03125  5.57176  9.01177e-19  -0.000479067  7.04566e-19
0  0.046875  4.2669  9.40667e-19  -0.000603359  9.80031e-19
0  0.0625  3.11041  4.77771e-19  -0.000638246  3.30135e-19
0  0.078125  2.22335  6.28183e-20  -0.000611019  3.76112e-19
0  0.09375  1.54261  4.67216e-19  -0.000558732  -4.21211e-20
0  0.109375  1.02919  3.76819e-19  -0.000502995  3.82828e-19
0  0.125  0.643726  -1.12781e-19  -0.000456356  2.81953e-19
0  0.140625  0.357839  -2.40959e-19  -0.00042242  -2.67943e-19
0  0.15625  0.145741  2.60721e-19  -0.000401992  -3.89595e-19
0  0.171875  -0.0140479  1.13474e-19  -0.000394432  -4.28081e-19
0  0.1875  -0.13841  -4.9243e-19  -0.000398822  4.55416e-19
0  0.203125  -0.239421  2.15924e-19  -0.000414137  3.38078e-19
0  0.21875  -0.324297  4.10139e-19  -0.000439009  -4.10139e-19
0  0.234375  -0.395563  3.6749e-19  -0.000470992  -4.08395e-19
0  0.25  -0.452565  6.73931e-19  -0.000505901  -4.08788e-20
0  0.265625  -0.495278  3.66234e-19  -0.00053892  2.1564e-20
0  0.28125  -0.528504  1.86281e-20  -0.000568304  -2.38366e-19
0  0.296875  -0.560343  2.11602e-19  -0.000596659  -6.90435e-21
0  0.3125  -0.592388  1.53434e-19  -0.000623754  3.10217e-19
0  0.328125  -0.615881  6.12074e-19  -0.000639197  5.07709e-19
0  0.34375  -0.62907  3.67294e-19  -0.000636783  3.37048e-20
0  0.359375  -0.646067  -5.42585e-19  -0.000628515  8.50449e-19
0  0.375  -0.665476  -5.50828e-19  -0.000612982  -2.55146e-19
0  0.390625  -0.671427  -6.59456e-19  -0.000571928  9.37291e-19
0  0.40625  -0.680289  -4.84421e-19  -0.000521387  -1.85193e-19
0  0.421875  -0.693164  6.90301e-19  -0.00046292  -3.6496e-19
0  0.4375  -0.691662  3.44287e-19  -0.000381169  -8.24933e-19
0  0.453125  -0.701959  9.26491e-19  -0.000298008  8.93106e-19
0  0.46875  -0.701689  5.14766e-19  -0.00020165  3.7167e-19
0  0.484375  -0.70584  -1.18477e-18  -0.00010235  5.63342e-19
0  0.5  -0.705962  2.0994e-18  3.85259e-18  1.67863e-19
0  0.515625  -0.70584  1.02326e-18  0.00010235  1.31725e-18
0  0.53125  -0.701689  -6.92996e-19  0.00020165  -7.45899e-19
0  0.546875  -0.701959  9.27147e-19  0.000298008  1.01443e-18
0  0.5625  -0.691662  2.87586e-19  0.000381169  -1.74293e-18
0  0.578125  -0.693164  1.99069e-19  0.00046292  5.88565e-19
0  0.59375  -0.680289  1.33923e-18  0.000521387  9.76672e-20
0  0.609375  -0.671427  1.72778e-18  0.000571928  1.12458e-18
0  0.625  -0.665476  -5.73991e-19  0.000612982  -4.3584e-19
0  0.640625  -0.646067  2.55247e-19  0.000628515  0
0  0.65625  -0.62907  8.28411e-19  0.000636783  -5.6938e-19
0  0.671875  -0.615881  1.25924e-18  0.000639197  -8.6551e-19
0  0.6875  -0.592388  1.2262e-18  0.000623754  -3.51301e-19
0  0.703125  -0.560343  5.42366e-19  0.000596659  -3.56271e-19
0  0.71875  -0.528504  1.01047e-19  0.000568304  -1.14314e-19
0  0.734375  -0.495278  3.38165e-19  0.00053892  1.95325e-19
0  0.75  -0.452565  4.15412e-19  0.000505901  -2.54068e-20
0  0.765625  -0.395563  -1.63949e-19  0.000470992  2.02064e-20
0  0.78125  -0.324297  1.63959e-19  0.000439009  1.77663e-19
0  0.796875  -0.239421  -4.31849e-20  0.000414137  8.01088e-20
0  0.8125  -0.13841  -2.9501e-20  0.000398822  8.45117e-19
0  0.828125  -0.0140479  -6.14928e-19  0.000394432  -4.85902e-19
0  0.84375  0.145741  4.15849e-19  0.000401992  -1.20952e-20
0  0.859375  0.357839  -5.25656e-19  0.00042242  -1.17285e-19
0  0.875  0.643726  2.58604e-19  0.000456356  1.02722e-19
0  0.890625  1.02919  6.23921e-19  0.000502995  4.04837e-19
0  0.90625  1.54261  4.86372e-19  0.000558732  4.27961e-19
0  0.921875  2.22335  4.27121e-19  0.000611019  5.36932e-19
0  0.9375  3.11041  9.70992e-19  0.000638246  2.96725e-19
0  0.953125  4.2669  9.00288e-19  0.000603359  9.20478e-19
0  0.96875  5.57176  5.08452e-19  0.000479067  8.61606e-19
0  0.984375  6.60651  8.2245e-19  0.000268207  4.57958e-19

0.015625  0  6.60651  -0.000268207  5.04938e-19  5.69362e-19
0.015625  0.015625  6.21323  -0.000262865  -0.000262865  1.24621e-19
0.015625  0.03125  5.32929  -0.000244433  -0.00047109  3.47511e-19
0.015625  0.046875  4.18157  -0.000216881  -0.000596036  6.1406e-19
