# D = 0
# z-slice at iz = N/2 (z = p/2)
# x/p  y/p  delta  vx  vy  vz
0  0  0.01  1.54228e-19  1.90877e-20  -1.81982e-19
0  0.015625  0.00995185  4.40634e-20  -0.000153074  1.28919e-18
0  0.03125  0.00980785  5.40487e-20  -0.000295874  2.34934e-18
0  0.046875  0.0095694  0  -0.000419461  6.65042e-20
0  0.0625  0.0092388  -2.3659e-20  -0.000517312  5.85726e-20
0  0.078125  0.00881921  4.0761e-20  -0.000585951  1.08195e-18
0  0.09375  0.0083147  1.13428e-19  -0.000625066  -1.05789e-19
0  0.109375  0.0077301  -5.4398e-21  -0.00063714  1.2902e-19
0  0.125  0.00707107  -1.56073e-19  -0.000626756  -1.95358e-21
0  0.140625  0.00634393  9.12991e-20  -0.000599738  1.0233e-18
0  0.15625  0.0055557  -1.41422e-19  -0.000562319  5.70247e-19
0  0.171875  0.00471397  5.74559e-20  -0.000520455  1.28185e-18
0  0.1875  0.00382683  1.53591e-20  -0.000479363  -1.65857e-19
0  0.203125  0.00290285  6.22322e-20  -0.000443272  -9.03871e-20
0  0.21875  0.0019509  -1.61351e-20  -0.000415356  9.56229e-20
0  0.234375  0.000980171  9.96328e-20  -0.000397778  -4.98164e-20
0  0.25  4.44089e-16  -6.72577e-20  -0.000391782  4.84442e-21
0  0.265625  -0.000980171  4.35179e-20  -0.000397774  7.79715e-20
0  0.28125  -0.0019509  -1.03893e-19  -0.000415349  -1.54691e-19
0  0.296875  -0.00290285  6.24131e-20  -0.000443263  -7.65315e-20
0  0.3125  -0.00382683  3.25769e-20  -0.000479354  -6.88971e-19
0  0.328125  -0.00471397  5.77273e-20  -0.000520448  -1.10988e-18
0  0.34375  -0.0055557  -3.55524e-20  -0.000562317  -6.22735e-19
0  0.359375  -0.00634393  5.85422e-20  -0.000599744  -5.16739e-19
0  0.375  -0.00707107  0  -0.00062677  -1.02167e-18
0  0.390625  -0.0077301  1.53832e-19  -0.000637163  2.74101e-21
0  0.40625  -0.0083147  4.26691e-20  -0.000625097  -2.92753e-19
0  0.421875  -0.00881921  1.67718e-20  -0.000585989  -1.23869e-18
0  0.4375  -0.0092388  1.1359e-20  -0.000517351  1.4037e-19
0  0.453125  -0.0095694  5.56221e-20  -0.000419496  1.11244e-19
0  0.46875  -0.00980785  -1.50741e-19  -0.000295901  -2.06862e-18
0  0.484375  -0.00995185  -1.42413e-19  -0.000153089  -1.12009e-18
0  0.5  -0.01  8.05499e-20  7.26549e-20  1.41791e-19
0  0.515625  -0.00995185  -3.50859e-21  0.000153089  -1.1358e-18
0  0.53125  -0.00980785  -8.88018e-20  0.000295901  -2.02422e-18
0  0.546875  -0.0095694  6.64817e-20  0.000419496  3.86707e-20
0  0.5625  -0.0092388  3.52376e-20  0.000517351  5.09921e-21
0  0.578125  -0.00881921  -1.5157e-20  0.000585989  -1.14104e-18
0  0.59375  -0.0083147  -5.71873e-20  0.000625097  -5.71873e-20
0  0.609375  -0.0077301  -4.76227e-20  0.000637163  2.92934e-20
0  0.625  -0.00707107  5.75142e-20  0.00062677  8.62713e-20
0  0.640625  -0.00634393  -6.6676e-20  0.000599744  -1.15543e-18
0  0.65625  -0.0055557  -5.73464e-20  0.000562317  -7.59749e-20
0  0.671875  -0.00471397  5.77273e-20  0.000520448  -1.22534e-18
0  0.6875  -0.00382683  -1.7159e-20  0.000479354  -1.39013e-19
0  0.703125  -0.00290285  -6.24131e-20  0.000443263  1.90209e-19
0  0.71875  -0.0019509  3.57799e-20  0.000415349  -2.5686e-19
0  0.734375  -0.000980171  5.62126e-20  0.000397774  1.06078e-19
0  0.75  8.88178e-16  6.22516e-20  0.000391782  -6.508e-20
0  0.765625  0.000980171  5.61575e-20  0.000397778  4.34753e-20
0  0.78125  0.0019509  -1.72817e-20  0.000415356  2.75361e-19
