# FPA nu sweep results
# nu = 3e-05
# N = 128, L_phys = 32 Mpc/h
# k_Nyquist = 402.124
# s_max = 0.0122179
# max|grad(theta)|/k_Nyq = 1.01278
# Phase resolvable: NO
# psi_hat low-k power = 77.8903%
#
# D   FPA_rms   ZA_rms   FPA_ZA_corr   mass_FPA   mass_ZA
1  0.137438  0  -nan  1  1
5  0.507434  0.497433  0.811738  1  1
15  1.82645  1.889  0.763558  1  1
25  2.50977  2.00988  0.728266  1  1
34  2.53094  1.84517  0.685196  1  1
