# D = 30
# z-slab average, thickness = 8 cells centred at iz=N/2
# x  y  delta_avg
0.0078125  0.0078125  -0.84252
0.0078125  0.0234375  -0.999941
0.0078125  0.0390625  -0.999083
0.0078125  0.0546875  -0.955774
0.0078125  0.0703125  -0.998006
0.0078125  0.0859375  -0.993581
0.0078125  0.101562  -0.935045
0.0078125  0.117188  -0.746912
0.0078125  0.132812  -0.84053
0.0078125  0.148438  -0.636903
0.0078125  0.164062  -0.546608
0.0078125  0.179688  -0.534448
0.0078125  0.195312  -0.493965
0.0078125  0.210938  -0.378241
0.0078125  0.226562  -0.487594
0.0078125  0.242188  -0.622833
0.0078125  0.257812  0.282219
0.0078125  0.273438  1.47659
0.0078125  0.289062  2.8096
0.0078125  0.304688  3.37236
0.0078125  0.320312  3.824
0.0078125  0.335938  5.96295
0.0078125  0.351562  6.98821
0.0078125  0.367188  5.05633
0.0078125  0.382812  2.32284
0.0078125  0.398438  -0.0565383
0.0078125  0.414062  -0.935648
0.0078125  0.429688  -0.916876
0.0078125  0.445312  -0.89549
0.0078125  0.460938  -0.926856
0.0078125  0.476562  -0.901964
0.0078125  0.492188  -0.686147
0.0078125  0.507812  -0.339052
0.0078125  0.523438  -0.23526
0.0078125  0.539062  -0.183709
0.0078125  0.554688  -0.563831
0.0078125  0.570312  -0.730435
0.0078125  0.585938  -0.791783
0.0078125  0.601562  -0.819079
0.0078125  0.617188  -0.874474
0.0078125  0.632812  -0.60557
0.0078125  0.648438  -0.553187
0.0078125  0.664062  -0.733769
0.0078125  0.679688  -0.659085
0.0078125  0.695312  -0.488439
0.0078125  0.710938  -0.649108
0.0078125  0.726562  -0.277247
0.0078125  0.742188  -0.646826
0.0078125  0.757812  -0.431438
0.0078125  0.773438  -0.205948
0.0078125  0.789062  -0.193272
0.0078125  0.804688  -0.263306
0.0078125  0.820312  0.0315471
0.0078125  0.835938  -0.563638
0.0078125  0.851562  -0.788538
0.0078125  0.867188  -0.916517
0.0078125  0.882812  -0.802974
0.0078125  0.898438  -0.964861
0.0078125  0.914062  -0.884718
0.0078125  0.929688  -0.964823
0.0078125  0.945312  -0.994368
0.0078125  0.960938  -0.917485
0.0078125  0.976562  -0.93037
0.0078125  0.992188  -0.813246

0.0234375  0.0078125  -0.86302
0.0234375  0.0234375  -0.929282
0.0234375  0.0390625  -0.939769
0.0234375  0.0546875  -0.956631
0.0234375  0.0703125  -0.996931
0.0234375  0.0859375  -0.872432
0.0234375  0.101562  -0.927017
0.0234375  0.117188  -0.918934
0.0234375  0.132812  -0.622313
0.0234375  0.148438  -0.752223
0.0234375  0.164062  -0.491869
0.0234375  0.179688  -0.766918
0.0234375  0.195312  -0.750061
0.0234375  0.210938  -0.473187
0.0234375  0.226562  -0.509953
0.0234375  0.242188  -0.115492
0.0234375  0.257812  1.14343
0.0234375  0.273438  3.22097
0.0234375  0.289062  4.01098
0.0234375  0.304688  5.29672
0.0234375  0.320312  6.0734
