# step = 10000, time = 0.1, G_eff = 5000
# x  rho  phase  re  im  V
0.000976562  0.108343  -0.899649  0.204696  -0.257764  0.033149
0.00292969  0.108165  -0.899595  0.204542  -0.257541  0.0331456
0.00488281  0.107811  -0.899488  0.204234  -0.257097  0.0331388
0.00683594  0.10728  -0.899327  0.203773  -0.256431  0.0331286
0.00878906  0.106576  -0.899112  0.203158  -0.255545  0.033115
0.0107422  0.105701  -0.898844  0.20239  -0.254439  0.0330979
0.0126953  0.104657  -0.898521  0.20147  -0.253114  0.0330775
0.0146484  0.103448  -0.898143  0.200398  -0.251572  0.0330537
0.0166016  0.102079  -0.897711  0.199175  -0.249816  0.0330264
0.0185547  0.100553  -0.897224  0.197802  -0.247846  0.0329957
0.0205078  0.0988771  -0.896681  0.19628  -0.245665  0.0329616
0.0224609  0.097056  -0.896083  0.19461  -0.243276  0.032924
0.0244141  0.0950963  -0.895429  0.192792  -0.240681  0.032883
0.0263672  0.0930046  -0.894718  0.190829  -0.237884  0.0328386
0.0283203  0.090788  -0.893952  0.188722  -0.234887  0.0327906
0.0302734  0.0884542  -0.893128  0.186471  -0.231695  0.0327393
0.0322266  0.0860112  -0.892248  0.184079  -0.228311  0.0326844
0.0341797  0.0834671  -0.891312  0.181547  -0.22474  0.032626
0.0361328  0.0808307  -0.890319  0.178876  -0.220984  0.0325642
0.0380859  0.0781109  -0.88927  0.176069  -0.21705  0.0324989
0.0400391  0.0753169  -0.888166  0.173126  -0.212942  0.03243
0.0419922  0.0724581  -0.887007  0.170051  -0.208664  0.0323576
0.0439453  0.069544  -0.885794  0.166844  -0.204223  0.0322817
0.0458984  0.0665844  -0.884529  0.163508  -0.199624  0.0322022
0.0478516  0.0635892  -0.883213  0.160044  -0.194872  0.0321191
0.0498047  0.0605681  -0.881849  0.156456  -0.189973  0.0320325
0.0517578  0.0575313  -0.880438  0.152744  -0.184934  0.0319423
0.0537109  0.0544886  -0.878985  0.148911  -0.179761  0.0318485
0.0556641  0.0514499  -0.877493  0.14496  -0.174461  0.0317511
0.0576172  0.048425  -0.875967  0.140892  -0.16904  0.0316501
0.0595703  0.0454236  -0.874413  0.13671  -0.163505  0.0315454
0.0615234  0.0424552  -0.872838  0.132417  -0.157864  0.0314371
0.0634766  0.0395291  -0.87125  0.128014  -0.152124  0.0313252
0.0654297  0.0366545  -0.86966  0.123504  -0.146292  0.0312096
0.0673828  0.0338402  -0.868079  0.11889  -0.140376  0.0310903
0.0693359  0.0310946  -0.866524  0.114174  -0.134383  0.0309673
0.0712891  0.028426  -0.865012  0.109359  -0.128322  0.0308407
0.0732422  0.0258423  -0.863566  0.104448  -0.1222  0.0307103
0.0751953  0.0233509  -0.862214  0.0994422  -0.116026  0.0305762
0.0771484  0.0209588  -0.860991  0.0943456  -0.109808  0.0304384
0.0791016  0.0186727  -0.859941  0.0891605  -0.103553  0.0302969
0.0810547  0.0164988  -0.85912  0.0838897  -0.0972693  0.0301516
0.0830078  0.0144427  -0.8586  0.0785359  -0.090966  0.0300025
0.0849609  0.0125097  -0.858476  0.0731021  -0.084651  0.0298497
0.0869141  0.0107045  -0.858875  0.067591  -0.0783324  0.0296931
0.0888672  0.00903131  -0.859969  0.0620054  -0.0720183  0.0295328
0.0908203  0.00749383  -0.861999  0.0563482  -0.0657169  0.0293687
0.0927734  0.00609527  -0.865312  0.0506222  -0.0594362  0.0292008
0.0947266  0.00483831  -0.870423  0.0448303  -0.0531841  0.0290291
0.0966797  0.00372512  -0.878139  0.0389752  -0.0469687  0.0288536
0.0986328  0.00275738  -0.889783  0.0330598  -0.0407975  0.0286743
0.100586  0.00193627  -0.907693  0.0270868  -0.0346782  0.0284912
0.102539  0.00126249  -0.936411  0.0210589  -0.0286184  0.0283042
0.104492  0.00073627  -0.986002  0.0149789  -0.0226253  0.0281135
0.106445  0.000357402  -1.08367  0.0088493  -0.016706  0.027919
0.108398  0.000125249  -1.32965  0.00267273  -0.0108676  0.0277206
0.110352  3.87723e-05  -2.17712  -0.00354834  -0.0051168  0.0275185
0.112305  9.6557e-05  3.08662  -0.0098115  0.000539928  0.0273125
0.114258  0.00029684  2.77992  -0.0161144  0.00609625  0.0271027
0.116211  0.000637539  2.66666  -0.022455  0.0115461  0.0268891
0.118164  0.00111629  2.61182  -0.028831  0.0168837  0.0266717
0.120117  0.00173046  2.5814  -0.0352405  0.0221035  0.0264505
