# step = 2000, time = 0.02, G_eff = 5000
# x  rho  phase  re  im  V
0.000976562  0.186037  2.42888  -0.326332  0.282036  0.0326818
0.00292969  0.185954  2.42897  -0.326286  0.281942  0.0326787
0.00488281  0.185787  2.42916  -0.326193  0.281753  0.0326725
0.00683594  0.185537  2.42945  -0.326055  0.281471  0.0326632
0.00878906  0.185206  2.42983  -0.32587  0.281095  0.0326508
0.0107422  0.184793  2.43031  -0.32564  0.280627  0.0326352
0.0126953  0.1843  2.43088  -0.325365  0.280066  0.0326166
0.0146484  0.183728  2.43154  -0.325046  0.279415  0.0325948
0.0166016  0.183079  2.4323  -0.324683  0.278674  0.03257
0.0185547  0.182354  2.43316  -0.324277  0.277845  0.032542
0.0205078  0.181555  2.43411  -0.32383  0.276929  0.0325109
0.0224609  0.180685  2.43515  -0.32334  0.275928  0.0324767
0.0244141  0.179746  2.43628  -0.322811  0.274843  0.0324393
0.0263672  0.17874  2.43751  -0.322243  0.273677  0.0323988
0.0283203  0.177669  2.43883  -0.321636  0.272432  0.0323552
0.0302734  0.176537  2.44024  -0.320993  0.271111  0.0323085
0.0322266  0.175347  2.44174  -0.320314  0.269714  0.0322586
0.0341797  0.174101  2.44333  -0.319601  0.268247  0.0322056
0.0361328  0.172803  2.44501  -0.318855  0.26671  0.0321494
0.0380859  0.171456  2.44678  -0.318078  0.265108  0.03209
0.0400391  0.170063  2.44862  -0.317271  0.263443  0.0320275
0.0419922  0.168628  2.45055  -0.316435  0.261718  0.0319619
0.0439453  0.167154  2.45256  -0.315572  0.259938  0.031893
0.0458984  0.165645  2.45465  -0.314684  0.258105  0.031821
0.0478516  0.164104  2.45681  -0.313772  0.256224  0.0317458
0.0498047  0.162535  2.45905  -0.312837  0.254298  0.0316675
0.0517578  0.160941  2.46135  -0.311881  0.252332  0.0315859
0.0537109  0.159327  2.46371  -0.310906  0.250329  0.0315011
0.0556641  0.157695  2.46614  -0.309913  0.248293  0.0314131
0.0576172  0.15605  2.46862  -0.308903  0.246229  0.0313219
0.0595703  0.154394  2.47115  -0.307878  0.244141  0.0312275
0.0615234  0.152731  2.47372  -0.306839  0.242034  0.0311298
0.0634766  0.151064  2.47633  -0.305788  0.239912  0.031029
0.0654297  0.149396  2.47897  -0.304725  0.237779  0.0309249
0.0673828  0.147731  2.48164  -0.303651  0.235641  0.0308175
0.0693359  0.146071  2.48433  -0.302569  0.233501  0.0307069
0.0712891  0.144419  2.48702  -0.301478  0.231365  0.030593
0.0732422  0.142777  2.48972  -0.300379  0.229237  0.0304759
0.0751953  0.141149  2.49241  -0.299274  0.227122  0.0303555
0.0771484  0.139536  2.49509  -0.298162  0.225023  0.0302318
0.0791016  0.137941  2.49774  -0.297045  0.222946  0.0301048
0.0810547  0.136365  2.50036  -0.295923  0.220896  0.0299746
0.0830078  0.134811  2.50293  -0.294796  0.218875  0.029841
0.0849609  0.133279  2.50545  -0.293664  0.21689  0.0297042
0.0869141  0.131772  2.5079  -0.292527  0.214943  0.029564
0.0888672  0.130291  2.51028  -0.291385  0.21304  0.0294206
0.0908203  0.128836  2.51257  -0.290238  0.211183  0.0292738
0.0927734  0.12741  2.51476  -0.289086  0.209377  0.0291237
0.0947266  0.126011  2.51684  -0.287928  0.207626  0.0289703
0.0966797  0.124641  2.5188  -0.286763  0.205933  0.0288135
0.0986328  0.123301  2.52063  -0.285591  0.204301  0.0286534
0.100586  0.121991  2.52231  -0.284411  0.202734  0.0284899
0.102539  0.120711  2.52384  -0.283223  0.201235  0.0283231
0.104492  0.119461  2.5252  -0.282025  0.199807  0.028153
0.106445  0.11824  2.52639  -0.280816  0.198451  0.0279795
0.108398  0.11705  2.52738  -0.279594  0.197172  0.0278026
0.110352  0.115889  2.52818  -0.27836  0.19597  0.0276223
0.112305  0.114757  2.52876  -0.277112  0.194849  0.0274387
0.114258  0.113654  2.52913  -0.275848  0.19381  0.0272517
0.116211  0.11258  2.52926  -0.274567  0.192854  0.0270613
0.118164  0.111534  2.52916  -0.273268  0.191984  0.0268676
0.120117  0.110515  2.52881  -0.27195  0.191201  0.0266704
0.12207  0.109523  2.5282  -0.270612  0.190506  0.0264699
0.124023  0.108558  2.52733  -0.269252  0.189899  0.0262659
0.125977  0.10762  2.52619  -0.26787  0.189382  0.0260586
0.12793  0.106707  2.52477  -0.266463  0.188955  0.0258478
0.129883  0.105819  2.52307  -0.265033  0.188618  0.0256337
0.131836  0.104957  2.52108  -0.263577  0.188373  0.0254161
0.133789  0.10412  2.5188  -0.262095  0.188218  0.0251951
0.135742  0.103307  2.51623  -0.260587  0.188153  0.0249707
0.137695  0.10252  2.51336  -0.259053  0.18818  0.0247429
0.139648  0.101757  2.51019  -0.257492  0.188296  0.0245116
0.141602  0.10102  2.50672  -0.255904  0.188502  0.024277
0.143555  0.100308  2.50294  -0.25429  0.188797  0.0240389
0.145508  0.0996213  2.49887  -0.252651  0.189179  0.0237973
0.147461  0.0989613  2.49451  -0.250987  0.189649  0.0235524
0.149414  0.0983282  2.48985  -0.249299  0.190205  0.023304
0.151367  0.0977229  2.4849  -0.24759  0.190846  0.0230521
0.15332  0.0971462  2.47967  -0.245859  0.191571  0.0227968
0.155273  0.0965993  2.47416  -0.244111  0.192378  0.0225381
0.157227  0.0960832  2.46839  -0.242346  0.193266  0.0222759
0.15918  0.0955994  2.46236  -0.240568  0.194234  0.0220103
0.161133  0.0951491  2.45608  -0.238779  0.195279  0.0217412
0.163086  0.094734  2.44956  -0.236982  0.196401  0.0214687
0.165039  0.0943557  2.44282  -0.235183  0.197598  0.0211927
0.166992  0.0940158  2.43588  -0.233383  0.198867  0.0209132
0.168945  0.0937163  2.42874  -0.231588  0.200208  0.0206303
0.170898  0.0934591  2.42143  -0.229803  0.201618  0.020344
0.172852  0.0932461  2.41397  -0.228032  0.203095  0.0200542
0.174805  0.0930795  2.40638  -0.22628  0.204638  0.0197609
0.176758  0.0929614  2.39867  -0.224554  0.206245  0.0194642
0.178711  0.0928939  2.39088  -0.222859  0.207913  0.019164
0.180664  0.0928794  2.38302  -0.221202  0.209641  0.0188603
0.182617  0.0929201  2.37513  -0.219589  0.211426  0.0185532
0.18457  0.0930183  2.36723  -0.218027  0.213267  0.0182427
0.186523  0.0931765  2.35935  -0.216523  0.215161  0.0179286
0.188477  0.093397  2.35152  -0.215085  0.217107  0.0176111
0.19043  0.0936822  2.34376  -0.213721  0.219102  0.0172902
0.192383  0.0940345  2.33612  -0.212438  0.221144  0.0169658
0.194336  0.0944565  2.32862  -0.211245  0.223231  0.0166379
0.196289  0.0949507  2.32129  -0.210151  0.22536  0.0163066
0.198242  0.0955195  2.31416  -0.209163  0.227531  0.0159718
0.200195  0.0961656  2.30727  -0.208292  0.229739  0.0156336
0.202148  0.0968917  2.30065  -0.207546  0.231984  0.015292
0.204102  0.0977003  2.29433  -0.206934  0.234262  0.0149468
0.206055  0.0985943  2.28834  -0.206466  0.236572  0.0145983
0.208008  0.0995766  2.28272  -0.206151  0.238911  0.0142463
0.209961  0.10065  2.27748  -0.205999  0.241277  0.0138909
0.211914  0.101818  2.27267  -0.20602  0.243668  0.013532
0.213867  0.103084  2.2683  -0.206223  0.24608  0.0131697
0.21582  0.10445  2.2644  -0.206619  0.248513  0.012804
0.217773  0.105922  2.26101  -0.207218  0.250963  0.0124349
0.219727  0.107502  2.25813  -0.208029  0.253428  0.0120624
0.22168  0.109195  2.25579  -0.209062  0.255906  0.0116865
0.223633  0.111005  2.25401  -0.210328  0.258394  0.0113071
