# step = 0, time = 0, G_eff = 5000
# x  rho  phase  re  im  V
0.0849609  8.70664e-15  0  9.33094e-08  0  0.0368078
0.0869141  1.2032e-14  0  1.09691e-07  0  0.03664
0.0888672  1.66022e-14  0  1.28849e-07  0  0.0364683
0.0908203  2.28732e-14  0  1.51239e-07  0  0.0362928
0.0927734  3.1465e-14  0  1.77384e-07  0  0.0361135
0.0947266  4.32181e-14  0  2.0789e-07  0  0.0359304
0.0966797  5.92707e-14  0  2.43456e-07  0  0.0357435
0.0986328  8.11619e-14  0  2.84889e-07  0  0.0355528
0.100586  1.10969e-13  0  3.3312e-07  0  0.0353582
0.102539  1.51492e-13  0  3.89219e-07  0  0.0351599
0.104492  2.06497e-13  0  4.54419e-07  0  0.0349577
0.106445  2.81044e-13  0  5.30136e-07  0  0.0347517
0.108398  3.81921e-13  0  6.17997e-07  0  0.0345419
0.110352  5.18214e-13  0  7.19871e-07  0  0.0343283
0.112305  7.02074e-13  0  8.37899e-07  0  0.0341108
0.114258  9.49716e-13  0  9.74534e-07  0  0.0338896
0.116211  1.28275e-12  0  1.13259e-06  0  0.0336645
0.118164  1.72993e-12  0  1.31527e-06  0  0.0334356
0.120117  2.32943e-12  0  1.52625e-06  0  0.0332029
0.12207  3.13192e-12  0  1.76972e-06  0  0.0329664
0.124023  4.20443e-12  0  2.05047e-06  0  0.0327261
0.125977  5.63563e-12  0  2.37395e-06  0  0.0324819
0.12793  7.54248e-12  0  2.74636e-06  0  0.032234
0.129883  1.00791e-11  0  3.17477e-06  0  0.0319822
0.131836  1.34484e-11  0  3.6672e-06  0  0.0317266
0.133789  1.79165e-11  0  4.23279e-06  0  0.0314672
0.135742  2.38328e-11  0  4.88189e-06  0  0.031204
0.137695  3.16544e-11  0  5.62623e-06  0  0.030937
0.139648  4.19788e-11  0  6.47911e-06  0  0.0306661
0.141602  5.55857e-11  0  7.45559e-06  0  0.0303915
0.143555  7.3491e-11  0  8.57269e-06  0  0.030113
0.145508  9.70157e-11  0  9.84965e-06  0  0.0298307
0.147461  1.27875e-10  0  1.13082e-05  0  0.0295446
0.149414  1.68294e-10  0  1.29728e-05  0  0.0292547
0.151367  2.21151e-10  0  1.48712e-05  0  0.028961
0.15332  2.90166e-10  0  1.70343e-05  0  0.0286634
0.155273  3.80138e-10  0  1.94971e-05  0  0.0283621
0.157227  4.97248e-10  0  2.22991e-05  0  0.0280569
0.15918  6.49445e-10  0  2.54842e-05  0  0.0277479
0.161133  8.46932e-10  0  2.91021e-05  0  0.0274351
0.163086  1.10279e-09  0  3.32083e-05  0  0.0271185
0.165039  1.43375e-09  0  3.78649e-05  0  0.026798
0.166992  1.8612e-09  0  4.31416e-05  0  0.0264738
0.168945  2.41239e-09  0  4.91161e-05  0  0.0261457
0.170898  3.12206e-09  0  5.58754e-05  0  0.0258138
0.172852  4.03433e-09  0  6.35164e-05  0  0.0254782
0.174805  5.20522e-09  0  7.21472e-05  0  0.0251386
0.176758  6.7057e-09  0  8.18883e-05  0  0.0247953
0.178711  8.62554e-09  0  9.28738e-05  0  0.0244482
0.180664  1.10781e-08  0  0.000105253  0  0.0240972
0.182617  1.42064e-08  0  0.00011919  0  0.0237425
0.18457  1.81902e-08  0  0.000134871  0  0.0233839
0.186523  2.32557e-08  0  0.000152498  0  0.0230215
0.188477  2.96864e-08  0  0.000172297  0  0.0226553
0.19043  3.78376e-08  0  0.000194519  0  0.0222853
0.192383  4.81534e-08  0  0.000219439  0  0.0219114
0.194336  6.11883e-08  0  0.000247363  0  0.0215338
0.196289  7.7633e-08  0  0.000278627  0  0.0211523
0.198242  9.83472e-08  0  0.000313604  0  0.020767
0.200195  1.24398e-07  0  0.000352702  0  0.0203779
