# step = 12000, time = 0.12, G_eff = 5000
# x  rho  phase  re  im  V
0.186523  0.257885  1.53715  0.0170811  0.507537  0.0166224
0.188477  0.260233  1.52603  0.0228286  0.50962  0.0163005
0.19043  0.262616  1.51482  0.028669  0.511658  0.0159757
0.192383  0.265038  1.50354  0.0346002  0.513655  0.0156482
0.194336  0.267508  1.49218  0.0406201  0.515614  0.0153178
0.196289  0.27003  1.48075  0.0467263  0.517539  0.0149847
0.198242  0.27261  1.46927  0.0529166  0.519432  0.0146488
0.200195  0.275255  1.45774  0.0591888  0.521298  0.0143101
0.202148  0.277969  1.44616  0.0655404  0.523138  0.0139686
0.204102  0.28076  1.43455  0.0719693  0.524957  0.0136244
0.206055  0.283631  1.42291  0.0784731  0.526757  0.0132774
0.208008  0.286589  1.41125  0.0850494  0.528541  0.0129277
0.209961  0.289639  1.39958  0.0916959  0.530312  0.0125753
0.211914  0.292785  1.38791  0.0984104  0.532072  0.0122202
0.213867  0.296033  1.37624  0.10519  0.533824  0.0118624
0.21582  0.299388  1.36458  0.112034  0.535571  0.0115018
0.217773  0.302852  1.35295  0.118939  0.537314  0.0111387
0.219727  0.306432  1.34135  0.125902  0.539056  0.0107728
0.22168  0.310132  1.32978  0.132923  0.540799  0.0104043
0.223633  0.313954  1.31827  0.139998  0.542545  0.0100332
0.225586  0.317904  1.3068  0.147125  0.544296  0.00965946
0.227539  0.321985  1.2954  0.154303  0.546054  0.00928312
0.229492  0.3262  1.28406  0.16153  0.547821  0.00890419
0.231445  0.330552  1.2728  0.168804  0.549598  0.00852269
0.233398  0.335046  1.26162  0.176122  0.551387  0.00813863
0.235352  0.339684  1.25053  0.183484  0.553189  0.00775204
0.237305  0.344469  1.23953  0.190887  0.555006  0.00736293
0.239258  0.349404  1.22863  0.19833  0.556838  0.00697132
0.241211  0.354491  1.21784  0.205811  0.558689  0.00657723
0.243164  0.359734  1.20715  0.213329  0.560557  0.00618068
0.245117  0.365135  1.19658  0.220883  0.562446  0.00578168
0.24707  0.370696  1.18613  0.228472  0.564355  0.00538026
0.249023  0.37642  1.17579  0.236093  0.566286  0.00497644
0.250977  0.382309  1.16558  0.243748  0.568239  0.00457024
0.25293  0.388365  1.1555  0.251433  0.570216  0.00416168
0.254883  0.394592  1.14554  0.25915  0.572218  0.00375079
0.256836  0.400991  1.13572  0.266896  0.574245  0.00333759
0.258789  0.407565  1.12603  0.274673  0.576298  0.00292211
0.260742  0.414316  1.11647  0.282478  0.578379  0.00250436
0.262695  0.421246  1.10705  0.290313  0.580486  0.00208439
0.264648  0.428359  1.09777  0.298177  0.582623  0.0016622
0.266602  0.435656  1.08862  0.30607  0.584789  0.00123783
0.268555  0.443142  1.0796  0.313992  0.586984  0.000811314
0.270508  0.450818  1.07072  0.321945  0.589211  0.00038267
0.272461  0.458687  1.06198  0.329928  0.591469  -4.80696e-05
0.274414  0.466754  1.05336  0.337942  0.593759  -0.000480874
0.276367  0.475021  1.04488  0.345989  0.596081  -0.000915712
0.27832  0.483493  1.03653  0.35407  0.598438  -0.00135255
0.280273  0.492173  1.02831  0.362185  0.600829  -0.00179137
0.282227  0.501065  1.02022  0.370337  0.603254  -0.00223211
0.28418  0.510175  1.01225  0.378527  0.605716  -0.00267477
0.286133  0.519506  1.0044  0.386758  0.608214  -0.00311929
0.288086  0.529065  0.996675  0.395032  0.61075  -0.00356564
0.290039  0.538857  0.989064  0.40335  0.613323  -0.00401379
0.291992  0.548888  0.981566  0.411717  0.615936  -0.0044637
0.293945  0.559164  0.974178  0.420135  0.618587  -0.00491533
0.295898  0.569692  0.966897  0.428606  0.62128  -0.00536864
0.297852  0.58048  0.959719  0.437136  0.624013  -0.0058236
0.299805  0.591536  0.952642  0.445726  0.626789  -0.00628015
0.301758  0.602867  0.94566  0.454382  0.629607  -0.00673827
0.303711  0.614484  0.938771  0.463107  0.632468  -0.0071979
0.305664  0.626394  0.93197  0.471905  0.635374  -0.007659
0.307617  0.63861  0.925254  0.480782  0.638324  -0.00812152
0.30957  0.65114  0.918618  0.489743  0.641321  -0.00858542
0.311523  0.663997  0.912058  0.498792  0.644363  -0.00905066
0.313477  0.677192  0.905571  0.507934  0.647453  -0.00951718
0.31543  0.690738  0.899152  0.517176  0.65059  -0.00998492
0.317383  0.704648  0.892797  0.526523  0.653775  -0.0104539
0.319336  0.718936  0.886502  0.535981  0.657009  -0.0109239
0.321289  0.733617  0.880262  0.545556  0.660292  -0.011395
0.323242  0.748706  0.874074  0.555255  0.663625  -0.0118672
0.325195  0.764218  0.867934  0.565084  0.667007  -0.0123403
0.327148  0.780172  0.861838  0.575049  0.67044  -0.0128143
0.329102  0.796583  0.855782  0.585158  0.673924  -0.0132891
0.331055  0.81347  0.849763  0.595417  0.677458  -0.0137648
0.333008  0.830853  0.843776  0.605833  0.681043  -0.0142411
