# step = 0, a = 0.0196078, z = 50
# x  y  rho  vx_current  vy_current  vx_phase  vy_phase
0.0234375  0.164062  0.942205  -0.000328556  0.00377038  -0.000324761  0.00379789
0.0234375  0.179688  1.00687  -0.000194226  0.00360521  -0.00019189  0.0039308
0.0234375  0.195312  0.982282  -0.000117369  0.00379168  -0.000111609  0.00400104
0.0234375  0.210938  1.0069  -0.000159431  0.0039714  -0.000159497  0.00431767
0.0234375  0.226562  1.0067  -0.000571016  0.0039973  -0.000587055  0.00440481
0.0234375  0.242188  0.939525  -0.00102051  0.00405073  -0.000953117  0.00415032
0.0234375  0.257812  1.05908  -0.000755248  0.00354461  -0.000766254  0.00383303
0.0234375  0.273438  1.11895  -0.000183124  0.00315411  -0.00017604  0.00331245
0.0234375  0.289062  1.17914  0.000114005  0.00251497  0.000146452  0.00260768
0.0234375  0.304688  1.22426  0.000165408  0.00159648  0.000193918  0.00164722
0.0234375  0.320312  1.19814  0.000295208  0.000388117  0.0003069  0.000387639
0.0234375  0.335938  1.24514  0.000708866  -0.00111989  0.00077274  -0.00113697
0.0234375  0.351562  1.24893  0.0010291  -0.00240063  0.00108991  -0.00272476
0.0234375  0.367188  0.934134  0.00148248  -0.00346852  0.00145066  -0.00329465
0.0234375  0.382812  1.01119  0.00171847  -0.00323012  0.00175489  -0.00326628
0.0234375  0.398438  1.22377  0.00180883  -0.00358474  0.00192058  -0.00414672
0.0234375  0.414062  1.1108  0.00191395  -0.00460209  0.00200189  -0.00514648
0.0234375  0.429688  1.00837  0.00236547  -0.00500417  0.00243878  -0.00541017
0.0234375  0.445312  1.09177  0.00269381  -0.00460406  0.00300497  -0.00559642
0.0234375  0.460938  0.916584  0.00320525  -0.00505252  0.00337034  -0.00555975
0.0234375  0.476562  0.870277  0.0031874  -0.00506704  0.00308665  -0.00531902
0.0234375  0.492188  1.08699  0.00261224  -0.00451928  0.00282336  -0.00592864
0.0234375  0.507812  0.844188  0.00282498  -0.00581709  0.00275152  -0.00661398
0.0234375  0.523438  0.814563  0.00320836  -0.00555313  0.00309904  -0.00658586
0.0234375  0.539062  0.826761  0.00338379  -0.00525373  0.00340819  -0.0063506
0.0234375  0.554688  0.775383  0.00272313  -0.00518431  0.00260354  -0.00569465
0.0234375  0.570312  0.873013  0.00131429  -0.00417676  0.00138936  -0.00463061
0.0234375  0.585938  0.956689  0.00103544  -0.00372585  0.00103628  -0.00392856
0.0234375  0.601562  1.09613  0.000725139  -0.00343121  0.000829092  -0.00393124
0.0234375  0.617188  0.941815  0.000201651  -0.00345865  0.000210422  -0.00360284
0.0234375  0.632812  0.823421  6.01895e-05  -0.00239638  5.94617e-05  -0.00234088
0.0234375  0.648438  0.867128  -0.000172758  -0.00120634  -0.000166669  -0.00120746
0.0234375  0.664062  0.98228  -0.000592989  -0.000878958  -0.000583534  -0.000934862
0.0234375  0.679688  0.881042  -0.000807223  -0.00080519  -0.000756058  -0.000783164
0.0234375  0.695312  0.857722  -0.000570375  -0.000270047  -0.000548197  -0.000266407
0.0234375  0.710938  0.818456  -0.000532208  0.000352691  -0.000473529  0.000347406
0.0234375  0.726562  0.846219  0.000101324  0.000817293  8.66174e-05  0.000809422
0.0234375  0.742188  0.903823  0.000678438  0.000855118  0.000635749  0.000879857
0.0234375  0.757812  0.874386  0.00071152  0.000694441  0.000646315  0.000690117
0.0234375  0.773438  0.868285  0.000637401  0.000569609  0.000601321  0.000554971
0.0234375  0.789062  0.962391  0.000112725  0.000577558  0.000127067  0.000584401
0.0234375  0.804688  1.00988  -0.000582444  0.000544421  -0.000615639  0.000551446
0.0234375  0.820312  1.01934  -0.000946586  0.000221072  -0.000951281  0.000222682
0.0234375  0.835938  1.05421  -0.00112533  -0.000336654  -0.00114971  -0.000345681
0.0234375  0.851562  1.00245  -0.00107222  -0.000849701  -0.00108534  -0.000871809
0.0234375  0.867188  0.903575  -0.0011435  -0.000980067  -0.00111643  -0.00094725
0.0234375  0.882812  0.938464  -0.00125805  -0.000770944  -0.0012979  -0.000784708
0.0234375  0.898438  0.917693  -0.00120522  -0.000558143  -0.00127434  -0.000567803
0.0234375  0.914062  0.795703  -0.00144818  0.000436624  -0.0014291  0.000377587
0.0234375  0.929688  1.02442  -0.00139569  0.00128565  -0.0015845  0.00137926
0.0234375  0.945312  0.986175  -0.00174372  0.0017161  -0.00187924  0.00177987
0.0234375  0.960938  0.87374  -0.00186259  0.00233174  -0.0019026  0.00223914
0.0234375  0.976562  0.991883  -0.00191773  0.0022131  -0.00199055  0.00242776
0.0234375  0.992188  0.855951  -0.00240771  0.00241244  -0.00231377  0.00244426

0.0390625  0.0078125  0.770115  -0.000998325  0.00355762  -0.00101433  0.00363174
0.0390625  0.0234375  0.852353  -0.000307204  0.00446174  -0.000349338  0.00490078
0.0390625  0.0390625  0.955952  8.52889e-05  0.00481821  9.04095e-05  0.00559666
0.0390625  0.0546875  0.989583  0.00047791  0.0051694  0.000512463  0.00580302
0.0390625  0.0703125  1.12858  0.000780222  0.0045455  0.000863005  0.00546268
0.0390625  0.0859375  1.02561  0.000985319  0.00426473  0.00100378  0.00470485
0.0390625  0.101562  0.89496  0.0010579  0.00418637  0.00104834  0.00441923
0.0390625  0.117188  0.867607  0.000593981  0.00417743  0.000574354  0.00452589
0.0390625  0.132812  0.857111  -4.43132e-06  0.0042311  8.09174e-07  0.00442748
0.0390625  0.148438  0.979108  -0.000488009  0.00362697  -0.000481315  0.00403165
0.0390625  0.164062  0.965427  -0.000560732  0.00372824  -0.000565123  0.00389065
0.0390625  0.179688  1.02914  -0.000704629  0.00371929  -0.000751334  0.00402136
0.0390625  0.195312  1.04697  -0.000618625  0.00379267  -0.000640167  0.00407256
0.0390625  0.210938  1.05317  -0.000594373  0.00377802  -0.000591003  0.00412923
0.0390625  0.226562  0.983608  -0.000961422  0.00398444  -0.000939945  0.00414353
0.0390625  0.242188  1.04285  -0.00111787  0.00368996  -0.00117707  0.00405763
0.0390625  0.257812  0.992615  -0.00108538  0.00383703  -0.00106368  0.00393229
0.0390625  0.273438  1.10558  -0.000925723  0.00318501  -0.00091064  0.0034462
0.0390625  0.289062  1.11524  -0.00107943  0.00246526  -0.00105662  0.0025395
0.0390625  0.304688  1.12586  -0.00131345  0.00159629  -0.00137987  0.00163092
0.0390625  0.320312  1.09403  -0.00125361  0.00075382  -0.00123791  0.000740983
0.0390625  0.335938  1.21446  -0.000762415  -0.000572981  -0.00078233  -0.000568752
0.0390625  0.351562  1.22377  -0.000159962  -0.00194653  -0.000179746  -0.00207451
0.0390625  0.367188  1.08215  0.000602081  -0.00280477  0.000651287  -0.0028086
0.0390625  0.382812  1.08521  0.000865208  -0.00310403  0.000891176  -0.0031637
0.0390625  0.398438  1.18325  0.000965789  -0.00357519  0.000955613  -0.00405235
0.0390625  0.414062  1.04895  0.00133166  -0.00445265  0.00131644  -0.00475676
0.0390625  0.429688  1.03918  0.00199642  -0.00442131  0.00201196  -0.00489353
0.0390625  0.445312  1.02131  0.00247185  -0.00459239  0.00248981  -0.00504983
0.0390625  0.460938  1.04949  0.0028777  -0.00467564  0.00306407  -0.00529647
0.0390625  0.476562  1.04577  0.00284647  -0.00488105  0.00307041  -0.00565912
0.0390625  0.492188  0.988762  0.00285137  -0.00513658  0.00280048  -0.0060894
