# step = 360, a = 0.674906, z = 0.481689
# x  y  rho  log2rho
0.0390625  0.335938  4.80134  1.75809
0.0390625  0.351562  2.18864  1.15959
0.0390625  0.367188  1.66665  0.980824
0.0390625  0.382812  0.909129  0.646647
0.0390625  0.398438  0.940384  0.662886
0.0390625  0.414062  0.893353  0.638349
0.0390625  0.429688  0.900503  0.642119
0.0390625  0.445312  0.852239  0.616395
0.0390625  0.460938  0.834433  0.606735
0.0390625  0.476562  0.829375  0.603975
0.0390625  0.492188  0.829484  0.604034
0.0390625  0.507812  0.834157  0.606585
0.0390625  0.523438  0.771926  0.572067
0.0390625  0.539062  0.692323  0.526102
0.0390625  0.554688  0.58912  0.46318
0.0390625  0.570312  0.59324  0.46577
0.0390625  0.585938  0.542019  0.433092
0.0390625  0.601562  0.439696  0.364432
0.0390625  0.617188  0.400512  0.336838
0.0390625  0.632812  0.350594  0.300545
0.0390625  0.648438  0.336678  0.290188
0.0390625  0.664062  0.357835  0.305892
0.0390625  0.679688  0.395772  0.333448
0.0390625  0.695312  0.351716  0.301375
0.0390625  0.710938  0.310287  0.270246
0.0390625  0.726562  0.362787  0.309532
0.0390625  0.742188  0.782437  0.577982
0.0390625  0.757812  1.25808  0.814515
0.0390625  0.773438  1.90859  1.06767
0.0390625  0.789062  2.35324  1.20993
0.0390625  0.804688  0.585682  0.461015
0.0390625  0.820312  0.497814  0.404007
0.0390625  0.835938  0.750829  0.56009
0.0390625  0.851562  0.572288  0.452532
0.0390625  0.867188  0.362246  0.309135
0.0390625  0.882812  0.189671  0.173677
0.0390625  0.898438  0.135989  0.127504
0.0390625  0.914062  0.163668  0.151577
0.0390625  0.929688  0.280155  0.246981
0.0390625  0.945312  0.3207  0.278162
0.0390625  0.960938  0.333308  0.287663
0.0390625  0.976562  0.337726  0.290972
0.0390625  0.992188  0.309997  0.270025

0.0546875  0.0078125  0.399673  0.336239
0.0546875  0.0234375  0.46281  0.380359
0.0546875  0.0390625  0.618441  0.481463
0.0546875  0.0546875  0.699451  0.530305
0.0546875  0.0703125  0.819773  0.598712
0.0546875  0.0859375  0.867461  0.62458
0.0546875  0.101562  0.854013  0.617352
0.0546875  0.117188  0.853084  0.616852
0.0546875  0.132812  0.740521  0.554185
0.0546875  0.148438  0.692458  0.526182
0.0546875  0.164062  0.671405  0.513665
0.0546875  0.179688  0.839961  0.609745
0.0546875  0.195312  1.05008  0.717879
0.0546875  0.210938  1.04664  0.716198
0.0546875  0.226562  1.00974  0.698004
0.0546875  0.242188  1.05439  0.71998
0.0546875  0.257812  0.893988  0.638685
0.0546875  0.273438  0.949728  0.66769
0.0546875  0.289062  0.862784  0.622072
0.0546875  0.304688  1.15096  0.765912
0.0546875  0.320312  2.36676  1.21395
0.0546875  0.335938  4.32806  1.67299
0.0546875  0.351562  2.69927  1.30814
0.0546875  0.367188  2.92906  1.3684
0.0546875  0.382812  3.28464  1.45504
0.0546875  0.398438  2.13897  1.14389
0.0546875  0.414062  0.697957  0.529425
0.0546875  0.429688  0.880045  0.631296
0.0546875  0.445312  0.849958  0.615163
0.0546875  0.460938  0.856262  0.618565
0.0546875  0.476562  0.853049  0.616833
0.0546875  0.492188  0.864666  0.623082
0.0546875  0.507812  0.906559  0.6453
0.0546875  0.523438  0.860893  0.621056
0.0546875  0.539062  0.757092  0.56366
0.0546875  0.554688  0.672604  0.514382
0.0546875  0.570312  0.539058  0.43117
0.0546875  0.585938  0.437362  0.36281
0.0546875  0.601562  0.379978  0.322068
0.0546875  0.617188  0.341394  0.293709
0.0546875  0.632812  0.357468  0.305621
0.0546875  0.648438  0.407328  0.341693
0.0546875  0.664062  0.49835  0.404365
0.0546875  0.679688  0.640878  0.495231
0.0546875  0.695312  0.712785  0.53812
0.0546875  0.710938  0.718119  0.54123
0.0546875  0.726562  0.616123  0.48003
0.0546875  0.742188  0.958831  0.672348
0.0546875  0.757812  1.72752  1.00339
0.0546875  0.773438  1.68894  0.989148
0.0546875  0.789062  1.57111  0.944338
0.0546875  0.804688  0.629797  0.488456
0.0546875  0.820312  0.426165  0.354989
0.0546875  0.835938  0.596969  0.468108
0.0546875  0.851562  0.867068  0.624369
0.0546875  0.867188  0.336412  0.289988
0.0546875  0.882812  0.155572  0.144595
0.0546875  0.898438  0.11337  0.107392
0.0546875  0.914062  0.143481  0.134077
0.0546875  0.929688  0.203715  0.185412
0.0546875  0.945312  0.221636  0.200191
0.0546875  0.960938  0.240322  0.215371
0.0546875  0.976562  0.29958  0.262041
0.0546875  0.992188  0.355777  0.304375

0.0703125  0.0078125  0.455692  0.375482
0.0703125  0.0234375  0.452543  0.373316
0.0703125  0.0390625  0.547555  0.436676
0.0703125  0.0546875  0.600068  0.470046
0.0703125  0.0703125  0.72788  0.546895
0.0703125  0.0859375  0.829528  0.604058
0.0703125  0.101562  0.910988  0.647621
0.0703125  0.117188  0.90641  0.645222
0.0703125  0.132812  0.868079  0.62491
0.0703125  0.148438  0.760918  0.565835
0.0703125  0.164062  0.706967  0.534718
0.0703125  0.179688  0.853935  0.617311
0.0703125  0.195312  1.00132  0.693805
0.0703125  0.210938  1.04454  0.715172
0.0703125  0.226562  0.9927  0.68949
0.0703125  0.242188  0.969419  0.677739
0.0703125  0.257812  0.659718  0.506647
0.0703125  0.273438  0.827985  0.603214
0.0703125  0.289062  0.838201  0.608788
0.0703125  0.304688  0.826035  0.602147
0.0703125  0.320312  1.43313  0.889178
0.0703125  0.335938  2.51374  1.25668
0.0703125  0.351562  1.54098  0.932549
0.0703125  0.367188  1.04588  0.71583
0.0703125  0.382812  1.19782  0.787465
0.0703125  0.398438  1.67573  0.984222
0.0703125  0.414062  2.16746  1.15293
0.0703125  0.429688  1.10408  0.743877
0.0703125  0.445312  0.804284  0.590164
0.0703125  0.460938  0.813304  0.595151
0.0703125  0.476562  0.793264  0.584037
0.0703125  0.492188  0.818068  0.597774
0.0703125  0.507812  1.05803  0.721747
0.0703125  0.523438  1.02078  0.703484
0.0703125  0.539062  1.01545  0.700841
0.0703125  0.554688  0.976109  0.68113
0.0703125  0.570312  0.747695  0.558298
0.0703125  0.585938  0.558385  0.44365
0.0703125  0.601562  0.42495  0.354136
0.0703125  0.617188  0.376548  0.319579
0.0703125  0.632812  0.402442  0.338215
0.0703125  0.648438  0.54098  0.432419
0.0703125  0.664062  0.693101  0.526561
0.0703125  0.679688  0.681466  0.519666
0.0703125  0.695312  0.575038  0.454279
0.0703125  0.710938  0.409638  0.343333
0.0703125  0.726562  0.367901  0.313278
0.0703125  0.742188  0.443296  0.366929
0.0703125  0.757812  0.811208  0.593994
0.0703125  0.773438  0.942184  0.663813
0.0703125  0.789062  1.64213  0.971586
0.0703125  0.804688  0.728743  0.547395
0.0703125  0.820312  0.412707  0.345508
0.0703125  0.835938  0.398493  0.335395
0.0703125  0.851562  0.940048  0.662713
0.0703125  0.867188  0.65691  0.504955
0.0703125  0.882812  0.249499  0.222743
0.0703125  0.898438  0.167778  0.155102
0.0703125  0.914062  0.2011  0.183238
0.0703125  0.929688  0.287114  0.252403
0.0703125  0.945312  0.273545  0.241804
0.0703125  0.960938  0.321974  0.279126
0.0703125  0.976562  0.418163  0.349362
0.0703125  0.992188  0.460096  0.378502

0.0859375  0.0078125  0.52108  0.41942
0.0859375  0.0234375  0.51529  0.415607
0.0859375  0.0390625  0.486163  0.396197
0.0859375  0.0546875  0.541462  0.432731
0.0859375  0.0703125  0.658235  0.505754
0.0859375  0.0859375  0.660346  0.507026
0.0859375  0.101562  0.714021  0.538842
0.0859375  0.117188  0.805852  0.591032
0.0859375  0.132812  0.847581  0.613877
0.0859375  0.148438  0.879883  0.631209
0.0859375  0.164062  1.10481  0.744227
0.0859375  0.179688  1.31288  0.838493
0.0859375  0.195312  1.00431  0.695299
0.0859375  0.210938  0.933014  0.65908
0.0859375  0.226562  0.95445  0.670109
0.0859375  0.242188  0.965103  0.675545
0.0859375  0.257812  0.648353  0.499777
0.0859375  0.273438  0.760456  0.565573
0.0859375  0.289062  0.781313  0.577351
0.0859375  0.304688  0.710001  0.536494
0.0859375  0.320312  1.65976  0.978236
0.0859375  0.335938  2.14303  1.14519
0.0859375  0.351562  1.33765  0.849146
0.0859375  0.367188  1.03955  0.712728
0.0859375  0.382812  1.08834  0.736367
0.0859375  0.398438  1.36367  0.860217
0.0859375  0.414062  2.17491  1.15528
0.0859375  0.429688  1.99941  1.09842
0.0859375  0.445312  1.68198  0.986556
0.0859375  0.460938  1.50188  0.917043
0.0859375  0.476562  1.68068  0.986071
0.0859375  0.492188  1.68684  0.988365
0.0859375  0.507812  1.48615  0.910735
0.0859375  0.523438  1.44471  0.893925
0.0859375  0.539062  1.28605  0.826826
0.0859375  0.554688  1.09341  0.738795
0.0859375  0.570312  1.00668  0.696484
0.0859375  0.585938  0.729436  0.547795
