# step = 200, a = 0.140028, z = 6.14143
# x  y  rho  log2rho
0.0078125  0.0078125  0.534481  0.428192
0.0078125  0.0234375  0.490548  0.399144
0.0078125  0.0390625  0.487865  0.397342
0.0078125  0.0546875  0.505621  0.409206
0.0078125  0.0703125  0.504648  0.408559
0.0078125  0.0859375  0.578054  0.456192
0.0078125  0.101562  0.647737  0.499403
0.0078125  0.117188  0.760738  0.565733
0.0078125  0.132812  0.900057  0.641884
0.0078125  0.148438  1.07075  0.727912
0.0078125  0.164062  1.07015  0.727622
0.0078125  0.179688  0.98358  0.684903
0.0078125  0.195312  0.900995  0.642378
0.0078125  0.210938  0.894095  0.638741
0.0078125  0.226562  0.964215  0.675093
0.0078125  0.242188  1.01633  0.701278
0.0078125  0.257812  1.08002  0.732379
0.0078125  0.273438  1.23801  0.805586
0.0078125  0.289062  1.5543  0.937778
0.0078125  0.304688  1.96692  1.08752
0.0078125  0.320312  2.84585  1.34699
0.0078125  0.335938  0.970504  0.67829
0.0078125  0.351562  0.915738  0.650103
0.0078125  0.367188  0.918236  0.651406
0.0078125  0.382812  0.866923  0.624292
0.0078125  0.398438  0.819548  0.598588
0.0078125  0.414062  0.798563  0.586988
0.0078125  0.429688  0.783785  0.578738
0.0078125  0.445312  0.780082  0.576659
0.0078125  0.460938  0.768235  0.569982
0.0078125  0.476562  0.730347  0.548322
0.0078125  0.492188  0.700288  0.530797
0.0078125  0.507812  0.735307  0.551184
0.0078125  0.523438  0.72986  0.548041
0.0078125  0.539062  0.737166  0.552255
0.0078125  0.554688  0.745086  0.556804
0.0078125  0.570312  0.850197  0.615292
0.0078125  0.585938  0.883774  0.633277
0.0078125  0.601562  0.812443  0.594676
0.0078125  0.617188  0.63436  0.491251
0.0078125  0.632812  0.577965  0.456136
0.0078125  0.648438  0.602811  0.471759
0.0078125  0.664062  0.56067  0.445115
0.0078125  0.679688  0.447008  0.369498
0.0078125  0.695312  0.327969  0.28365
0.0078125  0.710938  0.308525  0.268901
0.0078125  0.726562  0.367666  0.313105
0.0078125  0.742188  0.561358  0.445556
0.0078125  0.757812  0.593965  0.466225
0.0078125  0.773438  0.593958  0.46622
0.0078125  0.789062  0.666609  0.510791
0.0078125  0.804688  0.703502  0.532686
0.0078125  0.820312  0.856389  0.618633
0.0078125  0.835938  0.827186  0.602777
