# step = 0, a = 0.0196078, z = 50
# x  y  rho  log2rho
0.0390625  0.335938  1.21238  0.794068
0.0390625  0.351562  1.15539  0.767974
0.0390625  0.367188  1.1368  0.759308
0.0390625  0.382812  1.13343  0.757733
0.0390625  0.398438  1.06755  0.726363
0.0390625  0.414062  1.03783  0.711885
0.0390625  0.429688  1.06849  0.726818
0.0390625  0.445312  1.00612  0.696204
0.0390625  0.460938  1.00608  0.696181
0.0390625  0.476562  1.00802  0.697147
0.0390625  0.492188  0.994874  0.690581
0.0390625  0.507812  1.02263  0.704397
0.0390625  0.523438  1.03639  0.711178
0.0390625  0.539062  1.00762  0.696952
0.0390625  0.554688  0.957378  0.671606
0.0390625  0.570312  0.851803  0.61616
0.0390625  0.585938  0.933154  0.659153
0.0390625  0.601562  0.836778  0.608013
0.0390625  0.617188  0.824136  0.601106
0.0390625  0.632812  0.88791  0.635471
0.0390625  0.648438  0.845977  0.613009
0.0390625  0.664062  0.872954  0.627517
0.0390625  0.679688  0.835571  0.607356
0.0390625  0.695312  0.871148  0.626552
0.0390625  0.710938  0.891696  0.637474
0.0390625  0.726562  0.959401  0.672639
0.0390625  0.742188  0.987732  0.686994
0.0390625  0.757812  1.00852  0.697401
0.0390625  0.773438  1.06154  0.723455
0.0390625  0.789062  0.988356  0.687308
0.0390625  0.804688  0.988848  0.687555
0.0390625  0.820312  0.976257  0.681205
0.0390625  0.835938  0.993364  0.689824
0.0390625  0.851562  0.917994  0.65128
0.0390625  0.867188  0.932426  0.658776
0.0390625  0.882812  0.907289  0.645683
0.0390625  0.898438  0.88236  0.632527
0.0390625  0.914062  0.961387  0.673652
0.0390625  0.929688  0.90523  0.644603
0.0390625  0.945312  0.891512  0.637376
0.0390625  0.960938  0.886672  0.634814
0.0390625  0.976562  0.867926  0.624829
0.0390625  0.992188  0.850462  0.615435

0.0546875  0.0078125  0.820526  0.599126
0.0546875  0.0234375  0.851602  0.616051
0.0546875  0.0390625  0.967284  0.676654
0.0546875  0.0546875  0.911506  0.647892
0.0546875  0.0703125  1.00326  0.694774
0.0546875  0.0859375  1.00538  0.695835
0.0546875  0.101562  0.951992  0.668851
0.0546875  0.117188  0.989074  0.687669
0.0546875  0.132812  1.00835  0.697314
0.0546875  0.148438  0.959421  0.672649
0.0546875  0.164062  0.968155  0.677096
0.0546875  0.179688  0.99268  0.68948
0.0546875  0.195312  0.999939  0.693117
0.0546875  0.210938  1.0139  0.700073
0.0546875  0.226562  1.04962  0.717654
0.0546875  0.242188  1.059  0.722221
0.0546875  0.257812  1.07697  0.730912
0.0546875  0.273438  1.08119  0.732942
0.0546875  0.289062  1.06787  0.72652
0.0546875  0.304688  1.08738  0.735908
0.0546875  0.320312  1.05688  0.721192
0.0546875  0.335938  1.14753  0.764318
0.0546875  0.351562  1.2164  0.795885
0.0546875  0.367188  1.19291  0.785228
0.0546875  0.382812  1.15174  0.766277
0.0546875  0.398438  1.1456  0.763418
0.0546875  0.414062  1.05119  0.71842
0.0546875  0.429688  1.03926  0.712589
0.0546875  0.445312  1.03508  0.710537
0.0546875  0.460938  1.04945  0.717573
0.0546875  0.476562  1.00685  0.696567
0.0546875  0.492188  0.991171  0.688723
0.0546875  0.507812  1.02897  0.707529
0.0546875  0.523438  1.08516  0.734845
0.0546875  0.539062  1.04583  0.715805
0.0546875  0.554688  1.00414  0.695216
0.0546875  0.570312  0.942113  0.663776
0.0546875  0.585938  0.919068  0.65184
0.0546875  0.601562  0.844347  0.612125
0.0546875  0.617188  0.828878  0.603703
0.0546875  0.632812  0.873417  0.627764
0.0546875  0.648438  0.864562  0.623026
0.0546875  0.664062  0.852069  0.616304
0.0546875  0.679688  0.859907  0.620526
0.0546875  0.695312  0.861009  0.621119
0.0546875  0.710938  0.870116  0.626
0.0546875  0.726562  0.944534  0.665023
0.0546875  0.742188  1.05688  0.721189
0.0546875  0.757812  0.996137  0.691214
