# step = 280, a = 0.307418, z = 2.2529
# x  y  rho  log2rho
0.0078125  0.0078125  0.620283  0.482601
0.0078125  0.0234375  0.562296  0.446156
0.0078125  0.0390625  0.6064  0.473995
0.0078125  0.0546875  0.608046  0.47502
0.0078125  0.0703125  0.556899  0.442696
0.0078125  0.0859375  0.594714  0.466695
0.0078125  0.101562  0.626703  0.486556
0.0078125  0.117188  0.714752  0.539268
0.0078125  0.132812  0.891121  0.63717
0.0078125  0.148438  1.21513  0.795313
0.0078125  0.164062  1.32307  0.842891
0.0078125  0.179688  1.30159  0.833599
0.0078125  0.195312  1.04931  0.717502
0.0078125  0.210938  0.807587  0.591993
0.0078125  0.226562  0.890163  0.636663
0.0078125  0.242188  1.07947  0.732113
0.0078125  0.257812  1.17335  0.77627
0.0078125  0.273438  1.22306  0.798885
0.0078125  0.289062  1.44285  0.893166
0.0078125  0.304688  1.71804  0.99991
0.0078125  0.320312  2.23496  1.17402
0.0078125  0.335938  1.30317  0.834286
0.0078125  0.351562  1.1689  0.774219
0.0078125  0.367188  1.06545  0.725349
0.0078125  0.382812  0.969283  0.67767
0.0078125  0.398438  0.939817  0.662593
0.0078125  0.414062  0.898125  0.640867
0.0078125  0.429688  0.866443  0.624034
0.0078125  0.445312  0.836719  0.607981
0.0078125  0.460938  0.794475  0.584713
0.0078125  0.476562  0.744925  0.556712
0.0078125  0.492188  0.724978  0.545214
0.0078125  0.507812  0.734996  0.551005
0.0078125  0.523438  0.670887  0.513355
0.0078125  0.539062  0.611321  0.477054
0.0078125  0.554688  0.658596  0.505971
0.0078125  0.570312  0.861261  0.621254
0.0078125  0.585938  0.961813  0.673869
0.0078125  0.601562  0.951914  0.66881
0.0078125  0.617188  0.839342  0.609408
0.0078125  0.632812  0.735145  0.551091
0.0078125  0.648438  0.634559  0.491373
0.0078125  0.664062  0.49144  0.399742
0.0078125  0.679688  0.373758  0.31755
0.0078125  0.695312  0.259281  0.230541
0.0078125  0.710938  0.223419  0.201649
0.0078125  0.726562  0.247784  0.221369
0.0078125  0.742188  0.454869  0.374916
0.0078125  0.757812  0.569283  0.450619
0.0078125  0.773438  0.565738  0.448357
0.0078125  0.789062  0.681537  0.519708
0.0078125  0.804688  0.707438  0.534994
0.0078125  0.820312  0.913487  0.648927
0.0078125  0.835938  0.889748  0.636444
0.0078125  0.851562  0.552344  0.439766
0.0078125  0.867188  0.433619  0.360202
0.0078125  0.882812  0.345958  0.297106
0.0078125  0.898438  0.342684  0.294671
0.0078125  0.914062  0.339834  0.292546
0.0078125  0.929688  0.423174  0.352889
0.0078125  0.945312  0.573176  0.453096
0.0078125  0.960938  0.659723  0.506651
0.0078125  0.976562  0.663213  0.508751
0.0078125  0.992188  0.667018  0.511036

0.0234375  0.0078125  0.387536  0.32753
0.0234375  0.0234375  0.384707  0.325489
0.0234375  0.0390625  0.55825  0.443563
0.0234375  0.0546875  0.594209  0.466378
0.0234375  0.0703125  0.590958  0.464336
0.0234375  0.0859375  0.669405  0.512467
0.0234375  0.101562  0.663757  0.509079
0.0234375  0.117188  0.689377  0.52436
0.0234375  0.132812  0.849135  0.614718
0.0234375  0.148438  1.09145  0.737857
0.0234375  0.164062  1.29794  0.832014
0.0234375  0.179688  1.40921  0.879301
0.0234375  0.195312  1.56422  0.941655
0.0234375  0.210938  1.64418  0.972361
0.0234375  0.226562  1.80314  1.03074
0.0234375  0.242188  1.87338  1.05549
0.0234375  0.257812  1.44624  0.89455
0.0234375  0.273438  1.36855  0.86228
0.0234375  0.289062  1.54665  0.934779
0.0234375  0.304688  3.33606  1.46697
0.0234375  0.320312  5.85874  1.92552
0.0234375  0.335938  2.30754  1.19621
0.0234375  0.351562  0.987957  0.687107
0.0234375  0.367188  1.0597  0.72256
0.0234375  0.382812  1.03967  0.712786
0.0234375  0.398438  0.958229  0.672041
0.0234375  0.414062  0.91203  0.648166
0.0234375  0.429688  0.887238  0.635114
0.0234375  0.445312  0.868334  0.625047
0.0234375  0.460938  0.817339  0.597374
0.0234375  0.476562  0.775758  0.574228
0.0234375  0.492188  0.771777  0.571983
0.0234375  0.507812  0.791575  0.583095
0.0234375  0.523438  0.724795  0.545108
0.0234375  0.539062  0.597779  0.468614
0.0234375  0.554688  0.582985  0.459312
0.0234375  0.570312  0.731024  0.548713
0.0234375  0.585938  0.830864  0.604788
0.0234375  0.601562  0.629886  0.48851
0.0234375  0.617188  0.552972  0.440171
0.0234375  0.632812  0.497416  0.403741
0.0234375  0.648438  0.443868  0.367326
0.0234375  0.664062  0.418344  0.34949
0.0234375  0.679688  0.341816  0.294024
0.0234375  0.695312  0.259636  0.230822
0.0234375  0.710938  0.216205  0.195735
0.0234375  0.726562  0.265095  0.235147
0.0234375  0.742188  0.468757  0.384416
0.0234375  0.757812  0.608685  0.475417
0.0234375  0.773438  0.809598  0.593105
0.0234375  0.789062  0.908574  0.646356
0.0234375  0.804688  0.59935  0.469597
0.0234375  0.820312  0.655825  0.504299
0.0234375  0.835938  0.728433  0.547215
0.0234375  0.851562  0.525176  0.42211
0.0234375  0.867188  0.392155  0.330853
0.0234375  0.882812  0.307737  0.268298
0.0234375  0.898438  0.270003  0.239019
0.0234375  0.914062  0.273529  0.241792
0.0234375  0.929688  0.376103  0.319256
0.0234375  0.945312  0.53588  0.429103
0.0234375  0.960938  0.561196  0.445452
0.0234375  0.976562  0.546784  0.436178
0.0234375  0.992188  0.479121  0.391448

0.0390625  0.0078125  0.284901  0.250682
0.0390625  0.0234375  0.345828  0.297009
0.0390625  0.0390625  0.592668  0.465411
0.0390625  0.0546875  0.645606  0.498109
0.0390625  0.0703125  0.643491  0.496823
0.0390625  0.0859375  0.719081  0.54179
0.0390625  0.101562  0.700907  0.531162
0.0390625  0.117188  0.717497  0.540868
0.0390625  0.132812  0.810435  0.593567
0.0390625  0.148438  0.870833  0.626384
0.0390625  0.164062  0.895729  0.639604
0.0390625  0.179688  0.991711  0.688994
0.0390625  0.195312  1.14633  0.763761
0.0390625  0.210938  1.14633  0.76376
0.0390625  0.226562  1.10714  0.74533
0.0390625  0.242188  1.0099  0.698086
0.0390625  0.257812  0.943677  0.664581
0.0390625  0.273438  0.900643  0.642192
0.0390625  0.289062  1.27032  0.819919
0.0390625  0.304688  1.54221  0.933032
0.0390625  0.320312  2.82058  1.3404
0.0390625  0.335938  4.82096  1.76147
0.0390625  0.351562  2.08888  1.12781
0.0390625  0.367188  1.53418  0.929868
0.0390625  0.382812  0.930215  0.657632
0.0390625  0.398438  0.8908  0.637
0.0390625  0.414062  0.93179  0.658447
0.0390625  0.429688  0.928693  0.656842
0.0390625  0.445312  0.886721  0.63484
0.0390625  0.460938  0.855771  0.6183
0.0390625  0.476562  0.829384  0.603979
