# step = 80, a = 0.0430471, z = 22.2304
# x  y  rho  vx_current  vy_current  vx_phase  vy_phase
0.0234375  0.164062  0.987536  -0.000372036  0.00593907  -0.000394992  0.00801516
0.0234375  0.179688  1.00924  -0.000551682  0.00598919  -0.000584496  0.00763637
0.0234375  0.195312  1.05909  -0.000584249  0.00559336  -0.000603042  0.00788231
0.0234375  0.210938  0.82134  -0.000900521  0.00661612  -0.000837798  0.00829729
0.0234375  0.226562  0.843657  -0.00160384  0.00650125  -0.00145912  0.00846039
0.0234375  0.242188  1.03836  -0.00160018  0.00580571  -0.00166316  0.00852973
0.0234375  0.257812  0.967905  -0.00166023  0.00640288  -0.00163029  0.00814789
0.0234375  0.273438  1.09221  -0.00116463  0.00580082  -0.00109152  0.00708727
0.0234375  0.289062  1.32972  -0.000685663  0.00488145  -0.00064467  0.00565736
0.0234375  0.304688  1.61323  9.56311e-05  0.00337157  0.000170738  0.0036901
0.0234375  0.320312  2.01661  0.000733984  0.000626615  0.000861513  0.000774779
0.0234375  0.335938  1.92227  0.0012866  -0.00221224  0.00148336  -0.00287691
0.0234375  0.351562  1.20005  0.00268513  -0.00537431  0.0026691  -0.0055371
0.0234375  0.367188  1.16182  0.00330785  -0.00605406  0.00336916  -0.00730459
0.0234375  0.382812  1.37057  0.00380446  -0.00596923  0.00404417  -0.00899881
0.0234375  0.398438  1.31567  0.00415244  -0.00613043  0.00448234  0.0100479
0.0234375  0.414062  1.06236  0.00448668  -0.00634182  0.00500104  0.00934387
0.0234375  0.429688  0.827152  0.0046876  -0.00631049  0.00529092  0.00876771
0.0234375  0.445312  0.638706  0.0052165  -0.00676508  0.00555558  0.00924085
0.0234375  0.460938  0.650382  0.0049671  -0.00688693  0.00549227  0.0096903
0.0234375  0.476562  0.886014  0.0046543  -0.00571616  0.00553826  0.00906161
0.0234375  0.492188  0.807515  0.00480963  -0.00609277  0.00543095  0.00856201
0.0234375  0.507812  0.667465  0.005213  -0.00595789  0.00590335  0.00797629
0.0234375  0.523438  0.497753  0.00497842  -0.00664259  0.00494368  0.00829771
0.0234375  0.539062  0.515989  0.00380834  -0.0063695  0.00384348  0.00941832
0.0234375  0.554688  0.538082  0.00304079  -0.00616209  0.00315084  -0.00920199
0.0234375  0.570312  0.531674  0.00268582  -0.00674649  0.00243458  -0.00788808
0.0234375  0.585938  0.807483  0.00105266  -0.00501022  0.00111384  -0.00731435
0.0234375  0.601562  0.676454  0.000516631  -0.00527188  0.000493602  -0.00642512
0.0234375  0.617188  0.493901  0.000493924  -0.00506829  0.0004744  -0.00510194
0.0234375  0.632812  0.540566  -0.000104438  -0.00371669  -0.0001016  -0.00381167
0.0234375  0.648438  0.703319  -0.000386888  -0.00231154  -0.000393639  -0.00258017
0.0234375  0.664062  0.726272  -0.000939376  -0.00158926  -0.000888819  -0.00162075
0.0234375  0.679688  0.728216  -0.0011493  -0.00123522  -0.00116268  -0.00130541
0.0234375  0.695312  0.588445  -0.00126773  -0.000527786  -0.00125594  -0.000468848
0.0234375  0.710938  0.629542  -0.000656191  0.000771529  -0.000671051  0.000748543
0.0234375  0.726562  0.694815  -0.000249336  0.00152192  -0.000236053  0.00155304
0.0234375  0.742188  0.718531  0.000256239  0.00151738  0.000257724  0.00151893
0.0234375  0.757812  0.794896  0.000887807  0.00113931  0.000833624  0.00116174
0.0234375  0.773438  0.830372  0.00036362  0.000952979  0.000321487  0.000997412
0.0234375  0.789062  0.724386  -0.000148763  0.000755099  -0.000152591  0.000702325
0.0234375  0.804688  0.857357  -0.00108015  0.00051372  -0.00109681  0.000520741
0.0234375  0.820312  0.977247  -0.0017695  0.000350402  -0.0017413  0.000363504
