# step = 400, a = 1, z = -1.64313e-14
# x  y  rho  log2rho
0.0390625  0.335938  4.99143  1.79033
0.0390625  0.351562  2.10628  1.13343
0.0390625  0.367188  1.63283  0.968057
0.0390625  0.382812  0.936248  0.660752
0.0390625  0.398438  0.947404  0.666497
0.0390625  0.414062  0.928375  0.656677
0.0390625  0.429688  0.931279  0.658183
0.0390625  0.445312  0.864631  0.623063
0.0390625  0.460938  0.85114  0.615801
0.0390625  0.476562  0.860085  0.620622
0.0390625  0.492188  0.862693  0.622023
0.0390625  0.507812  0.850786  0.61561
0.0390625  0.523438  0.780817  0.577072
0.0390625  0.539062  0.709106  0.53597
0.0390625  0.554688  0.615719  0.47978
0.0390625  0.570312  0.591184  0.464479
0.0390625  0.585938  0.547413  0.436585
0.0390625  0.601562  0.417612  0.348974
0.0390625  0.617188  0.38753  0.327525
0.0390625  0.632812  0.369949  0.314774
0.0390625  0.648438  0.335099  0.289006
0.0390625  0.664062  0.337374  0.290708
0.0390625  0.679688  0.392091  0.330807
0.0390625  0.695312  0.346049  0.297174
0.0390625  0.710938  0.30347  0.26503
0.0390625  0.726562  0.340805  0.29327
0.0390625  0.742188  0.803396  0.589672
0.0390625  0.757812  1.19003  0.783916
0.0390625  0.773438  1.90278  1.06567
0.0390625  0.789062  2.27356  1.18588
0.0390625  0.804688  0.61827  0.481358
0.0390625  0.820312  0.513376  0.414343
0.0390625  0.835938  0.777466  0.575189
0.0390625  0.851562  0.564844  0.447786
0.0390625  0.867188  0.377969  0.320611
0.0390625  0.882812  0.18616  0.170721
0.0390625  0.898438  0.126063  0.118727
0.0390625  0.914062  0.172296  0.158964
0.0390625  0.929688  0.278022  0.245313
0.0390625  0.945312  0.302331  0.264155
0.0390625  0.960938  0.332968  0.287408
0.0390625  0.976562  0.355423  0.304114
0.0390625  0.992188  0.32683  0.282793

0.0546875  0.0078125  0.387144  0.327247
0.0546875  0.0234375  0.435536  0.361538
0.0546875  0.0390625  0.608575  0.475348
0.0546875  0.0546875  0.698298  0.529627
0.0546875  0.0703125  0.810771  0.593752
0.0546875  0.0859375  0.85662  0.618757
0.0546875  0.101562  0.860247  0.620709
0.0546875  0.117188  0.881701  0.632176
0.0546875  0.132812  0.783173  0.578394
0.0546875  0.148438  0.685563  0.5221
0.0546875  0.164062  0.652025  0.502002
0.0546875  0.179688  0.846654  0.613375
0.0546875  0.195312  1.09278  0.738495
0.0546875  0.210938  1.06323  0.724275
0.0546875  0.226562  1.01658  0.701404
0.0546875  0.242188  0.964699  0.675339
0.0546875  0.257812  0.851128  0.615795
0.0546875  0.273438  0.883163  0.632953
0.0546875  0.289062  0.888104  0.635573
