# FPA nu sweep results
# nu = 0.0001
# N = 64, L_phys = 32 Mpc/h
# k_Nyquist = 201.062
# s_max = 0.0108717
# max|grad(theta)|/k_Nyq = 0.540715
# Phase resolvable: YES
# psi_hat low-k power = 99.3679%
#
# D   FPA_rms   ZA_rms   FPA_ZA_corr   mass_FPA   mass_ZA
1  0.112422  0  -nan  1  1
5  0.394913  0.386531  0.809745  1  1
15  1.171  1.54585  0.730594  1  1
25  1.94869  1.91179  0.771637  1  1
34  2.26817  1.82522  0.731512  1  1
