# D = 5
# z-slab average, thickness = 8 cells
# x  y  delta_avg
0.0078125  0.0078125  -0.372969
0.0078125  0.0234375  -0.381049
0.0078125  0.0390625  -0.391118
0.0078125  0.0546875  -0.316711
0.0078125  0.0703125  -0.274701
0.0078125  0.0859375  -0.269682
0.0078125  0.101562  -0.220408
0.0078125  0.117188  -0.197647
0.0078125  0.132812  -0.177272
0.0078125  0.148438  -0.0629016
0.0078125  0.164062  -0.0917661
0.0078125  0.179688  -0.123444
0.0078125  0.195312  -0.0784514
0.0078125  0.210938  -0.0267824
0.0078125  0.226562  0.0197695
0.0078125  0.242188  0.130976
0.0078125  0.257812  0.25219
0.0078125  0.273438  0.482727
0.0078125  0.289062  0.687201
0.0078125  0.304688  0.714438
0.0078125  0.320312  0.767028
0.0078125  0.335938  0.794317
0.0078125  0.351562  0.700226
0.0078125  0.367188  0.361607
0.0078125  0.382812  0.100631
0.0078125  0.398438  -0.0615838
0.0078125  0.414062  -0.0719574
0.0078125  0.429688  -0.110648
0.0078125  0.445312  -0.0851023
0.0078125  0.460938  -0.0680249
0.0078125  0.476562  -0.175921
0.0078125  0.492188  -0.340707
0.0078125  0.507812  -0.385727
0.0078125  0.523438  -0.44508
0.0078125  0.539062  -0.435441
0.0078125  0.554688  -0.409765
0.0078125  0.570312  -0.413303
0.0078125  0.585938  -0.417642
0.0078125  0.601562  -0.373579
0.0078125  0.617188  -0.361432
0.0078125  0.632812  -0.34247
0.0078125  0.648438  -0.34738
0.0078125  0.664062  -0.303082
0.0078125  0.679688  -0.312097
0.0078125  0.695312  -0.297057
0.0078125  0.710938  -0.29568
0.0078125  0.726562  -0.262166
0.0078125  0.742188  -0.222882
0.0078125  0.757812  -0.141729
0.0078125  0.773438  0.00487485
0.0078125  0.789062  0.019006
0.0078125  0.804688  -0.0503829
0.0078125  0.820312  -0.117887
0.0078125  0.835938  -0.113889
0.0078125  0.851562  -0.153319
0.0078125  0.867188  -0.247365
0.0078125  0.882812  -0.303232
0.0078125  0.898438  -0.406515
0.0078125  0.914062  -0.414077
0.0078125  0.929688  -0.403486
0.0078125  0.945312  -0.417595
0.0078125  0.960938  -0.424639
0.0078125  0.976562  -0.394648
0.0078125  0.992188  -0.364599

0.0234375  0.0078125  -0.392347
0.0234375  0.0234375  -0.387123
