# step = 0, time = 0
# r  rho_avg  count
0.0078125  1.04974  8
0.0234375  1.04972  24
0.0390625  1.04969  104
0.0546875  1.04964  144
0.0703125  1.04953  272
0.0859375  1.04933  360
0.101562  1.04894  560
0.117188  1.04819  704
0.132812  1.04681  936
0.148438  1.04434  1112
0.164062  1.04027  1392
0.179688  1.03423  1592
0.195312  1.02614  2120
0.210938  1.01762  2208
0.226562  1.01037  2792
0.242188  1.0052  2928
0.257812  1.00204  3416
0.273438  1.00019  3792
0.289062  0.99917  4304
0.304688  0.998623  4784
0.320312  0.998335  5472
0.335938  0.998187  5696
0.351562  0.998112  6384
0.367188  0.998073  6752
0.382812  0.998053  7896
0.398438  0.998043  8072
0.414062  0.998037  8888
0.429688  0.998035  9384
0.445312  0.998033  10112
0.460938  0.998033  10896
0.476562  0.998032  11696
0.492188  0.998032  12576
