# step = 280, time = 0.309249, G_eff = 0, N = 64, iz = 32
# x  y  rho  V
0.0078125  0.0078125  0.950419  0.000881996
0.0078125  0.0234375  0.950668  0.000875341
0.0078125  0.0390625  0.951217  0.000862075
0.0078125  0.0546875  0.952148  0.000842297
0.0078125  0.0703125  0.953537  0.000816181
0.0078125  0.0859375  0.955409  0.000784003
0.0078125  0.101562  0.957727  0.000746145
0.0078125  0.117188  0.960415  0.000703094
0.0078125  0.132812  0.963387  0.000655425
0.0078125  0.148438  0.966534  0.000603789
0.0078125  0.164062  0.969723  0.000548884
0.0078125  0.179688  0.972818  0.000491431
0.0078125  0.195312  0.975734  0.000432154
0.0078125  0.210938  0.978455  0.000371754
0.0078125  0.226562  0.980997  0.000310905
0.0078125  0.242188  0.983363  0.000250252
0.0078125  0.257812  0.985542  0.0001904
0.0078125  0.273438  0.987533  0.000131907
0.0078125  0.289062  0.989343  7.52823e-05
0.0078125  0.304688  0.990994  2.09859e-05
0.0078125  0.320312  0.992502  -3.05595e-05
0.0078125  0.335938  0.993832  -7.89608e-05
0.0078125  0.351562  0.994901  -0.000123857
0.0078125  0.367188  0.995655  -0.000164936
0.0078125  0.382812  0.996109  -0.000201942
0.0078125  0.398438  0.996346  -0.000234682
0.0078125  0.414062  0.996481  -0.00026301
0.0078125  0.429688  0.996616  -0.00028681
0.0078125  0.445312  0.996806  -0.000305984
0.0078125  0.460938  0.997035  -0.00032045
0.0078125  0.476562  0.997244  -0.000330138
0.0078125  0.492188  0.99737  -0.000334996
0.0078125  0.507812  0.99737  -0.000334996
0.0078125  0.523438  0.997244  -0.000330138
0.0078125  0.539062  0.997035  -0.00032045
0.0078125  0.554688  0.996806  -0.000305984
0.0078125  0.570312  0.996616  -0.00028681
0.0078125  0.585938  0.996481  -0.00026301
0.0078125  0.601562  0.996346  -0.000234682
0.0078125  0.617188  0.996109  -0.000201942
0.0078125  0.632812  0.995655  -0.000164936
0.0078125  0.648438  0.994901  -0.000123857
0.0078125  0.664062  0.993832  -7.89608e-05
0.0078125  0.679688  0.992502  -3.05595e-05
0.0078125  0.695312  0.990994  2.09859e-05
0.0078125  0.710938  0.989343  7.52823e-05
0.0078125  0.726562  0.987533  0.000131907
0.0078125  0.742188  0.985542  0.0001904
0.0078125  0.757812  0.983363  0.000250252
0.0078125  0.773438  0.980997  0.000310905
0.0078125  0.789062  0.978455  0.000371754
0.0078125  0.804688  0.975734  0.000432154
0.0078125  0.820312  0.972818  0.000491431
0.0078125  0.835938  0.969723  0.000548884
0.0078125  0.851562  0.966534  0.000603789
0.0078125  0.867188  0.963387  0.000655425
0.0078125  0.882812  0.960415  0.000703094
0.0078125  0.898438  0.957727  0.000746145
0.0078125  0.914062  0.955409  0.000784003
0.0078125  0.929688  0.953537  0.000816181
0.0078125  0.945312  0.952148  0.000842297
0.0078125  0.960938  0.951217  0.000862075
0.0078125  0.976562  0.950668  0.000875341
0.0078125  0.992188  0.950419  0.000881996

0.0234375  0.0078125  0.950668  0.000875341
0.0234375  0.0234375  0.950915  0.000868667
0.0234375  0.0390625  0.951465  0.000855361
0.0234375  0.0546875  0.952405  0.000835523
0.0234375  0.0703125  0.953812  0.000809332
0.0234375  0.0859375  0.955708  0.000777064
0.0234375  0.101562  0.958051  0.000739103
0.0234375  0.117188  0.960763  0.000695939
0.0234375  0.132812  0.963756  0.000648149
0.0234375  0.148438  0.966925  0.000596382
0.0234375  0.164062  0.970142  0.000541334
0.0234375  0.179688  0.973273  0.00048373
0.0234375  0.195312  0.976225  0.000424293
0.0234375  0.210938  0.978964  0.00036373
0.0234375  0.226562  0.981492  0.000302717
0.0234375  0.242188  0.983817  0.000241896
0.0234375  0.257812  0.985951  0.000181871
0.0234375  0.273438  0.987916  0.000123197
0.0234375  0.289062  0.989728  6.63843e-05
0.0234375  0.304688  0.991404  1.18973e-05
0.0234375  0.320312  0.992943  -3.98346e-05
0.0234375  0.335938  0.994299  -8.84125e-05
0.0234375  0.351562  0.995393  -0.000133472
0.0234375  0.367188  0.996173  -0.000174698
0.0234375  0.382812  0.996651  -0.000211835
0.0234375  0.398438  0.996906  -0.000244688
0.0234375  0.414062  0.997051  -0.000273112
0.0234375  0.429688  0.997193  -0.000296991
0.0234375  0.445312  0.997386  -0.000316231
0.0234375  0.460938  0.997617  -0.000330748
0.0234375  0.476562  0.997828  -0.00034047
0.0234375  0.492188  0.997954  -0.000345345
0.0234375  0.507812  0.997954  -0.000345345
0.0234375  0.523438  0.997828  -0.00034047
0.0234375  0.539062  0.997617  -0.000330748
0.0234375  0.554688  0.997386  -0.000316231
0.0234375  0.570312  0.997193  -0.000296991
0.0234375  0.585938  0.997051  -0.000273112
0.0234375  0.601562  0.996906  -0.000244688
0.0234375  0.617188  0.996651  -0.000211835
0.0234375  0.632812  0.996173  -0.000174698
0.0234375  0.648438  0.995393  -0.000133472
0.0234375  0.664062  0.994299  -8.84125e-05
0.0234375  0.679688  0.992943  -3.98346e-05
0.0234375  0.695312  0.991404  1.18973e-05
0.0234375  0.710938  0.989728  6.63843e-05
0.0234375  0.726562  0.987916  0.000123197
0.0234375  0.742188  0.985951  0.000181871
0.0234375  0.757812  0.983817  0.000241896
0.0234375  0.773438  0.981492  0.000302717
0.0234375  0.789062  0.978964  0.00036373
0.0234375  0.804688  0.976225  0.000424293
0.0234375  0.820312  0.973273  0.00048373
0.0234375  0.835938  0.970142  0.000541334
0.0234375  0.851562  0.966925  0.000596382
0.0234375  0.867188  0.963756  0.000648149
0.0234375  0.882812  0.960763  0.000695939
0.0234375  0.898438  0.958051  0.000739103
0.0234375  0.914062  0.955708  0.000777064
0.0234375  0.929688  0.953812  0.000809332
0.0234375  0.945312  0.952405  0.000835523
0.0234375  0.960938  0.951465  0.000855361
