# step = 260, time = 0.254308
# r  rho_avg  count
0.0078125  1.07736  8
0.0234375  1.07739  24
0.0390625  1.07747  104
0.0546875  1.07756  144
0.0703125  1.07762  272
0.0859375  1.07754  360
0.101562  1.07723  560
0.117188  1.07664  704
0.132812  1.07559  936
0.148438  1.07417  1112
0.164062  1.07227  1392
0.179688  1.06964  1592
0.195312  1.06668  2120
0.210938  1.06303  2208
0.226562  1.0592  2792
0.242188  1.05524  2928
0.257812  1.0512  3416
0.273438  1.04702  3792
0.289062  1.04269  4304
0.304688  1.03847  4784
0.320312  1.03395  5472
0.335938  1.02941  5696
0.351562  1.02509  6384
0.367188  1.02062  6752
0.382812  1.01624  7896
0.398438  1.01196  8072
0.414062  1.00797  8888
0.429688  1.0042  9384
0.445312  1.00082  10112
0.460938  0.997579  10896
0.476562  0.99471  11696
0.492188  0.991974  12576
