# step = 300, time = 0.37606
# r  rho_avg  count
0.0078125  1.12776  8
0.0234375  1.12757  24
0.0390625  1.12704  104
0.0546875  1.12619  144
0.0703125  1.12495  272
0.0859375  1.12332  360
0.101562  1.12119  560
0.117188  1.1185  704
0.132812  1.11537  936
0.148438  1.11175  1112
0.164062  1.10773  1392
0.179688  1.10336  1592
0.195312  1.09836  2120
0.210938  1.09309  2208
0.226562  1.08727  2792
0.242188  1.08101  2928
0.257812  1.07467  3416
0.273438  1.06799  3792
0.289062  1.06105  4304
0.304688  1.05413  4784
0.320312  1.04725  5472
0.335938  1.04051  5696
0.351562  1.03421  6384
0.367188  1.02802  6752
0.382812  1.02207  7896
0.398438  1.01635  8072
0.414062  1.01095  8888
0.429688  1.00591  9384
0.445312  1.00132  10112
0.460938  0.996714  10896
0.476562  0.992836  11696
0.492188  0.988999  12576
