# step = 140, time = 0.0786447
# r  rho_avg  count
0.0078125  1.01304  8
0.0234375  1.01344  24
0.0390625  1.01437  104
0.0546875  1.01567  144
0.0703125  1.01719  272
0.0859375  1.01871  360
0.101562  1.02002  560
0.117188  1.021  704
0.132812  1.02147  936
0.148438  1.02168  1112
0.164062  1.02167  1392
0.179688  1.02152  1592
0.195312  1.02135  2120
0.210938  1.02122  2208
0.226562  1.02091  2792
0.242188  1.02051  2928
0.257812  1.01996  3416
0.273438  1.0192  3792
0.289062  1.0183  4304
0.304688  1.01736  4784
0.320312  1.01614  5472
0.335938  1.0147  5696
0.351562  1.01308  6384
0.367188  1.0111  6752
0.382812  1.00894  7896
0.398438  1.00655  8072
0.414062  1.0041  8888
0.429688  1.00161  9384
0.445312  0.999302  10112
0.460938  0.997151  10896
0.476562  0.995068  11696
0.492188  0.993429  12576
