# step = 200, time = 0.141421
# r  rho_avg  count
0.0078125  1.04333  8
0.0234375  1.0432  24
0.0390625  1.04282  104
0.0546875  1.04219  144
0.0703125  1.04133  272
0.0859375  1.04036  360
0.101562  1.03944  560
0.117188  1.03869  704
0.132812  1.03821  936
0.148438  1.03786  1112
0.164062  1.03748  1392
0.179688  1.03701  1592
0.195312  1.0362  2120
0.210938  1.03537  2208
0.226562  1.03416  2792
0.242188  1.03276  2928
0.257812  1.03125  3416
0.273438  1.0295  3792
0.289062  1.02727  4304
0.304688  1.02484  4784
0.320312  1.02207  5472
0.335938  1.01924  5696
0.351562  1.01651  6384
0.367188  1.01347  6752
0.382812  1.0108  7896
0.398438  1.008  8072
0.414062  1.00543  8888
0.429688  1.0029  9384
0.445312  1.00055  10112
0.460938  0.998399  10896
0.476562  0.996287  11696
0.492188  0.994306  12576
