# step = 240, time = 0.209128
# r  rho_avg  count
0.0078125  1.05955  8
0.0234375  1.05976  24
0.0390625  1.06025  104
0.0546875  1.06086  144
0.0703125  1.06145  272
0.0859375  1.0619  360
0.101562  1.06208  560
0.117188  1.06187  704
0.132812  1.0612  936
0.148438  1.0601  1112
0.164062  1.0586  1392
0.179688  1.05671  1592
0.195312  1.05448  2120
0.210938  1.05187  2208
0.226562  1.04906  2792
0.242188  1.04607  2928
0.257812  1.04296  3416
0.273438  1.03971  3792
0.289062  1.0362  4304
0.304688  1.0328  4784
0.320312  1.02903  5472
0.335938  1.02523  5696
0.351562  1.02168  6384
0.367188  1.01782  6752
0.382812  1.01418  7896
0.398438  1.01047  8072
0.414062  1.00696  8888
0.429688  1.00353  9384
0.445312  1.00052  10112
0.460938  0.997691  10896
0.476562  0.995233  11696
0.492188  0.992934  12576
