# step = 320, time = 0.457305
# r  rho_avg  count
0.0078125  1.16343  8
0.0234375  1.16295  24
0.0390625  1.16181  104
0.0546875  1.16013  144
0.0703125  1.15783  272
0.0859375  1.15494  360
0.101562  1.15139  560
0.117188  1.14717  704
0.132812  1.14271  936
0.148438  1.13776  1112
0.164062  1.13247  1392
0.179688  1.12687  1592
0.195312  1.1202  2120
0.210938  1.11347  2208
0.226562  1.10586  2792
0.242188  1.09799  2928
0.257812  1.09013  3416
0.273438  1.08186  3792
0.289062  1.07347  4304
0.304688  1.06483  4784
0.320312  1.05644  5472
0.335938  1.04819  5696
0.351562  1.04049  6384
0.367188  1.03306  6752
0.382812  1.02593  7896
0.398438  1.01915  8072
0.414062  1.01273  8888
0.429688  1.00681  9384
0.445312  1.00137  10112
0.460938  0.9959  10896
0.476562  0.99132  11696
0.492188  0.986711  12576
