# step = 180, time = 0.116296
# r  rho_avg  count
0.0078125  1.03417  8
0.0234375  1.03409  24
0.0390625  1.0339  104
0.0546875  1.03358  144
0.0703125  1.0331  272
0.0859375  1.03248  360
0.101562  1.03178  560
0.117188  1.03106  704
0.132812  1.03052  936
0.148438  1.03011  1112
0.164062  1.02988  1392
0.179688  1.02978  1592
0.195312  1.02956  2120
0.210938  1.02943  2208
0.226562  1.02891  2792
0.242188  1.02805  2928
0.257812  1.02699  3416
0.273438  1.02552  3792
0.289062  1.02376  4304
0.304688  1.02157  4784
0.320312  1.01949  5472
0.335938  1.01712  5696
0.351562  1.01491  6384
0.367188  1.01244  6752
0.382812  1.01005  7896
0.398438  1.00756  8072
0.414062  1.00512  8888
0.429688  1.00268  9384
0.445312  1.00035  10112
0.460938  0.998225  10896
0.476562  0.996139  11696
0.492188  0.994332  12576
