# step = 40, time = 0.0295752
# r  rho_avg  count
0.0078125  1.03249  8
0.0234375  1.03282  24
0.0390625  1.03346  104
0.0546875  1.03417  144
0.0703125  1.03475  272
0.0859375  1.03505  360
0.101562  1.03487  560
0.117188  1.03406  704
0.132812  1.03253  936
0.148438  1.03027  1112
0.164062  1.02742  1392
0.179688  1.02416  1592
0.195312  1.02059  2120
0.210938  1.01719  2208
0.226562  1.01424  2792
0.242188  1.01189  2928
0.257812  1.01017  3416
0.273438  1.00889  3792
0.289062  1.00781  4304
0.304688  1.00666  4784
0.320312  1.00525  5472
0.335938  1.00352  5696
0.351562  1.00164  6384
0.367188  0.999739  6752
0.382812  0.998071  7896
0.398438  0.996828  8072
0.414062  0.996091  8888
0.429688  0.995724  9384
0.445312  0.995605  10112
0.460938  0.995622  10896
0.476562  0.995746  11696
0.492188  0.996015  12576
