# step = 220, time = 0.171974
# r  rho_avg  count
0.0078125  1.04918  8
0.0234375  1.04931  24
0.0390625  1.04951  104
0.0546875  1.04967  144
0.0703125  1.04977  272
0.0859375  1.0498  360
0.101562  1.04969  560
0.117188  1.04942  704
0.132812  1.04885  936
0.148438  1.04803  1112
0.164062  1.04702  1392
0.179688  1.04575  1592
0.195312  1.04437  2120
0.210938  1.04273  2208
0.226562  1.04091  2792
0.242188  1.03878  2928
0.257812  1.03647  3416
0.273438  1.03402  3792
0.289062  1.03109  4304
0.304688  1.02834  4784
0.320312  1.02512  5472
0.335938  1.02196  5696
0.351562  1.01893  6384
0.367188  1.01541  6752
0.382812  1.01231  7896
0.398438  1.00902  8072
0.414062  1.00603  8888
0.429688  1.00307  9384
0.445312  1.00052  10112
0.460938  0.998081  10896
0.476562  0.995839  11696
0.492188  0.993761  12576
