# step = 100, time = 0.053183
# r  rho_avg  count
0.0078125  1.01301  8
0.0234375  1.01312  24
0.0390625  1.01334  104
0.0546875  1.01362  144
0.0703125  1.01392  272
0.0859375  1.01423  360
0.101562  1.01454  560
0.117188  1.01483  704
0.132812  1.01521  936
0.148438  1.01562  1112
0.164062  1.0162  1392
0.179688  1.01694  1592
0.195312  1.01776  2120
0.210938  1.01835  2208
0.226562  1.01883  2792
0.242188  1.01895  2928
0.257812  1.01862  3416
0.273438  1.01787  3792
0.289062  1.01676  4304
0.304688  1.01527  4784
0.320312  1.01344  5472
0.335938  1.01134  5696
0.351562  1.00922  6384
0.367188  1.00691  6752
0.382812  1.00461  7896
0.398438  1.00229  8072
0.414062  1.00026  8888
0.429688  0.99839  9384
0.445312  0.996731  10112
0.460938  0.995579  10896
0.476562  0.994524  11696
0.492188  0.993853  12576
