# step = 280, time = 0.309249
# r  rho_avg  count
0.0078125  1.10001  8
0.0234375  1.09985  24
0.0390625  1.09954  104
0.0546875  1.09911  144
0.0703125  1.09855  272
0.0859375  1.0978  360
0.101562  1.09669  560
0.117188  1.0953  704
0.132812  1.09333  936
0.148438  1.091  1112
0.164062  1.08825  1392
0.179688  1.08478  1592
0.195312  1.08099  2120
0.210938  1.0765  2208
0.226562  1.07184  2792
0.242188  1.06681  2928
0.257812  1.06172  3416
0.273438  1.05649  3792
0.289062  1.05094  4304
0.304688  1.04549  4784
0.320312  1.03989  5472
0.335938  1.03434  5696
0.351562  1.02915  6384
0.367188  1.02392  6752
0.382812  1.01886  7896
0.398438  1.01397  8072
0.414062  1.00935  8888
0.429688  1.00502  9384
0.445312  1.0011  10112
0.460938  0.997235  10896
0.476562  0.993921  11696
0.492188  0.99072  12576
