# step = 160, time = 0.0956352
# r  rho_avg  count
0.0078125  1.02536  8
0.0234375  1.02507  24
0.0390625  1.02459  104
0.0546875  1.0242  144
0.0703125  1.02406  272
0.0859375  1.02417  360
0.101562  1.02449  560
0.117188  1.02498  704
0.132812  1.02526  936
0.148438  1.02552  1112
0.164062  1.02558  1392
0.179688  1.02535  1592
0.195312  1.02509  2120
0.210938  1.02472  2208
0.226562  1.02411  2792
0.242188  1.02337  2928
0.257812  1.02262  3416
0.273438  1.02168  3792
0.289062  1.02068  4304
0.304688  1.01924  4784
0.320312  1.01787  5472
0.335938  1.01606  5696
0.351562  1.01404  6384
0.367188  1.01187  6752
0.382812  1.00946  7896
0.398438  1.00702  8072
0.414062  1.00462  8888
0.429688  1.00229  9384
0.445312  1  10112
0.460938  0.997897  10896
0.476562  0.995813  11696
0.492188  0.993989  12576
