# step = 80, time = 0.0437345
# r  rho_avg  count
0.0078125  1.00842  8
0.0234375  1.00892  24
0.0390625  1.00992  104
0.0546875  1.01109  144
0.0703125  1.01228  272
0.0859375  1.01339  360
0.101562  1.01446  560
0.117188  1.01555  704
0.132812  1.01655  936
0.148438  1.01759  1112
0.164062  1.01843  1392
0.179688  1.01913  1592
0.195312  1.01942  2120
0.210938  1.01962  2208
0.226562  1.01929  2792
0.242188  1.0187  2928
0.257812  1.01776  3416
0.273438  1.01636  3792
0.289062  1.01477  4304
0.304688  1.01274  4784
0.320312  1.01056  5472
0.335938  1.00823  5696
0.351562  1.00588  6384
0.367188  1.0037  6752
0.382812  1.00156  7896
0.398438  0.9997  8072
0.414062  0.998231  8888
0.429688  0.997177  9384
0.445312  0.996394  10112
0.460938  0.996026  10896
0.476562  0.995655  11696
0.492188  0.995468  12576
