# step = 20, time = 0.0243208
# r  rho_avg  count
0.0078125  1.09732  8
0.0234375  1.09344  24
0.0390625  1.08546  104
0.0546875  1.07562  144
0.0703125  1.06515  272
0.0859375  1.05503  360
0.101562  1.04598  560
0.117188  1.03874  704
0.132812  1.03358  936
0.148438  1.02977  1112
0.164062  1.02666  1392
0.179688  1.02364  1592
0.195312  1.02043  2120
0.210938  1.01734  2208
0.226562  1.01457  2792
0.242188  1.01209  2928
0.257812  1.00975  3416
0.273438  1.00733  3792
0.289062  1.00488  4304
0.304688  1.00251  4784
0.320312  1.00036  5472
0.335938  0.99852  5696
0.351562  0.997106  6384
0.367188  0.996172  6752
0.382812  0.995776  7896
0.398438  0.995906  8072
0.414062  0.996441  8888
0.429688  0.997183  9384
0.445312  0.997909  10112
0.460938  0.998423  10896
0.476562  0.998608  11696
0.492188  0.998481  12576
