# step = 340, time = 0.556102
# r  rho_avg  count
0.0078125  1.20977  8
0.0234375  1.20848  24
0.0390625  1.20579  104
0.0546875  1.20236  144
0.0703125  1.1984  272
0.0859375  1.19403  360
0.101562  1.18912  560
0.117188  1.1836  704
0.132812  1.17761  936
0.148438  1.17094  1112
0.164062  1.16371  1392
0.179688  1.15607  1592
0.195312  1.14727  2120
0.210938  1.13847  2208
0.226562  1.12878  2792
0.242188  1.11877  2928
0.257812  1.10891  3416
0.273438  1.09864  3792
0.289062  1.08834  4304
0.304688  1.07777  4784
0.320312  1.06762  5472
0.335938  1.05763  5696
0.351562  1.04821  6384
0.367188  1.03923  6752
0.382812  1.03048  7896
0.398438  1.02234  8072
0.414062  1.01467  8888
0.429688  1.00765  9384
0.445312  1.0012  10112
0.460938  0.994665  10896
0.476562  0.989156  11696
0.492188  0.983627  12576
