# step = 360, time = 0.676243
# r  rho_avg  count
0.0078125  1.26422  8
0.0234375  1.26276  24
0.0390625  1.25965  104
0.0546875  1.2555  144
0.0703125  1.25049  272
0.0859375  1.24465  360
0.101562  1.23781  560
0.117188  1.23015  704
0.132812  1.22179  936
0.148438  1.21274  1112
0.164062  1.20306  1392
0.179688  1.19276  1592
0.195312  1.1812  2120
0.210938  1.16945  2208
0.226562  1.157  2792
0.242188  1.14419  2928
0.257812  1.13177  3416
0.273438  1.11905  3792
0.289062  1.10635  4304
0.304688  1.09338  4784
0.320312  1.08094  5472
0.335938  1.06877  5696
0.351562  1.05732  6384
0.367188  1.04649  6752
0.382812  1.03594  7896
0.398438  1.02609  8072
0.414062  1.01679  8888
0.429688  1.00824  9384
0.445312  1.00048  10112
0.460938  0.992668  10896
0.476562  0.986227  11696
0.492188  0.979787  12576
