# step = 120, time = 0.0646727
# r  rho_avg  count
0.0078125  1.01745  8
0.0234375  1.01702  24
0.0390625  1.01629  104
0.0546875  1.0156  144
0.0703125  1.01518  272
0.0859375  1.01511  360
0.101562  1.01545  560
0.117188  1.01608  704
0.132812  1.01688  936
0.148438  1.01763  1112
0.164062  1.01829  1392
0.179688  1.01881  1592
0.195312  1.01922  2120
0.210938  1.01934  2208
0.226562  1.01936  2792
0.242188  1.01912  2928
0.257812  1.01865  3416
0.273438  1.01814  3792
0.289062  1.01717  4304
0.304688  1.0163  4784
0.320312  1.01483  5472
0.335938  1.01325  5696
0.351562  1.01151  6384
0.367188  1.00932  6752
0.382812  1.00724  7896
0.398438  1.00496  8072
0.414062  1.00271  8888
0.429688  1.00047  9384
0.445312  0.998398  10112
0.460938  0.996416  10896
0.476562  0.994631  11696
0.492188  0.993164  12576
