# D = 174.98
# x/p  delta  log(2+delta)  velocity
0  0.00917562  0.303018  1.76514e-15
0.00195312  0.00917493  0.303018  0.000152834
0.00390625  0.00917284  0.303017  0.000305647
0.00585938  0.00916937  0.303017  0.000458416
0.0078125  0.00916451  0.303015  0.000611121
0.00976562  0.00915825  0.303014  0.000763739
0.0117188  0.00915062  0.303012  0.00091625
0.0136719  0.00914159  0.303011  0.00106863
0.015625  0.00913119  0.303008  0.00122086
0.0175781  0.0091194  0.303006  0.00137292
0.0195312  0.00910623  0.303003  0.00152478
0.0214844  0.00909168  0.303  0.00167643
0.0234375  0.00907575  0.302996  0.00182785
0.0253906  0.00905845  0.302993  0.001979
0.0273438  0.00903977  0.302989  0.00212988
0.0292969  0.00901973  0.302984  0.00228045
0.03125  0.00899833  0.30298  0.0024307
0.0332031  0.00897556  0.302975  0.00258061
0.0351562  0.00895143  0.302969  0.00273015
0.0371094  0.00892594  0.302964  0.00287931
0.0390625  0.00889911  0.302958  0.00302806
0.0410156  0.00887093  0.302952  0.00317638
0.0429688  0.0088414  0.302946  0.00332426
0.0449219  0.00881054  0.302939  0.00347166
0.046875  0.00877834  0.302932  0.00361857
0.0488281  0.00874482  0.302925  0.00376497
0.0507812  0.00870997  0.302917  0.00391084
0.0527344  0.0086738  0.302909  0.00405615
0.0546875  0.00863632  0.302901  0.00420089
0.0566406  0.00859754  0.302893  0.00434503
0.0585938  0.00855745  0.302884  0.00448856
0.0605469  0.00851607  0.302875  0.00463145
0.0625  0.0084734  0.302866  0.00477369
0.0644531  0.00842945  0.302857  0.00491524
0.0664062  0.00838423  0.302847  0.0050561
0.0683594  0.00833773  0.302837  0.00519625
0.0703125  0.00828998  0.302826  0.00533565
0.0722656  0.00824097  0.302816  0.0054743
0.0742188  0.00819072  0.302805  0.00561216
0.0761719  0.00813923  0.302794  0.00574924
0.078125  0.00808651  0.302782  0.00588549
0.0800781  0.00803256  0.302771  0.00602091
0.0820312  0.0079774  0.302759  0.00615547
0.0839844  0.00792104  0.302747  0.00628915
0.0859375  0.00786348  0.302734  0.00642194
0.0878906  0.00780473  0.302721  0.00655381
0.0898438  0.00774481  0.302709  0.00668475
0.0917969  0.00768371  0.302695  0.00681473
0.09375  0.00762145  0.302682  0.00694374
0.0957031  0.00755805  0.302668  0.00707177
0.0976562  0.0074935  0.302654  0.00719878
0.0996094  0.00742782  0.30264  0.00732476
0.101562  0.00736102  0.302625  0.0074497
0.103516  0.00729311  0.302611  0.00757357
0.105469  0.00722409  0.302596  0.00769636
0.107422  0.00715399  0.302581  0.00781804
0.109375  0.00708281  0.302565  0.00793861
0.111328  0.00701056  0.30255  0.00805804
0.113281  0.00693726  0.302534  0.00817631
0.115234  0.0068629  0.302518  0.00829341
0.117188  0.00678752  0.302501  0.00840932
0.119141  0.00671111  0.302485  0.00852403
0.121094  0.00663369  0.302468  0.0086375
