# D = 117.16
# x/p  delta  log(2+delta)  velocity
0  -0.00873997  0.299128  -4.46041e-16
0.00195312  -0.00873931  0.299128  0.00019092
0.00390625  -0.00873735  0.299129  0.000381809
0.00585938  -0.00873408  0.299129  0.000572638
0.0078125  -0.00872949  0.29913  0.000763375
0.00976562  -0.0087236  0.299132  0.000953991
0.0117188  -0.00871641  0.299133  0.00114446
0.0136719  -0.0087079  0.299135  0.00133474
0.015625  -0.00869809  0.299137  0.00152481
0.0175781  -0.00868698  0.29914  0.00171464
0.0195312  -0.00867457  0.299142  0.00190419
0.0214844  -0.00866085  0.299145  0.00209344
0.0234375  -0.00864584  0.299149  0.00228236
0.0253906  -0.00862953  0.299152  0.00247092
0.0273438  -0.00861193  0.299156  0.00265908
0.0292969  -0.00859304  0.29916  0.00284682
0.03125  -0.00857286  0.299164  0.00303411
0.0332031  -0.0085514  0.299169  0.00322092
0.0351562  -0.00852865  0.299174  0.00340721
0.0371094  -0.00850462  0.299179  0.00359297
0.0390625  -0.00847932  0.299185  0.00377815
0.0410156  -0.00845275  0.299191  0.00396273
0.0429688  -0.00842491  0.299197  0.00414669
0.0449219  -0.00839581  0.299203  0.00432998
0.046875  -0.00836545  0.29921  0.00451259
0.0488281  -0.00833384  0.299217  0.00469448
0.0507812  -0.00830097  0.299224  0.00487563
0.0527344  -0.00826686  0.299231  0.005056
0.0546875  -0.00823152  0.299239  0.00523557
0.0566406  -0.00819493  0.299247  0.00541431
0.0585938  -0.00815712  0.299255  0.0055922
0.0605469  -0.00811808  0.299264  0.00576919
0.0625  -0.00807783  0.299272  0.00594527
0.0644531  -0.00803636  0.299281  0.00612041
0.0664062  -0.00799369  0.299291  0.00629458
0.0683594  -0.00794982  0.2993  0.00646776
0.0703125  -0.00790476  0.29931  0.00663991
0.0722656  -0.0078585  0.29932  0.00681101
0.0742188  -0.00781107  0.299331  0.00698103
0.0761719  -0.00776247  0.299341  0.00714995
0.078125  -0.00771271  0.299352  0.00731773
0.0800781  -0.00766178  0.299363  0.00748437
0.0820312  -0.0076097  0.299374  0.00764981
0.0839844  -0.00755649  0.299386  0.00781405
0.0859375  -0.00750213  0.299398  0.00797706
0.0878906  -0.00744665  0.29941  0.0081388
0.0898438  -0.00739005  0.299422  0.00829926
0.0917969  -0.00733235  0.299435  0.00845842
0.09375  -0.00727354  0.299448  0.00861623
0.0957031  -0.00721363  0.299461  0.00877269
0.0976562  -0.00715265  0.299474  0.00892777
0.0996094  -0.00709058  0.299488  0.00908144
0.101562  -0.00702746  0.299501  0.00923368
0.103516  -0.00696327  0.299515  0.00938447
0.105469  -0.00689804  0.29953  0.00953378
0.107422  -0.00683177  0.299544  0.00968159
0.109375  -0.00676448  0.299559  0.00982788
0.111328  -0.00669616  0.299574  0.00997262
0.113281  -0.00662684  0.299589  0.0101158
0.115234  -0.00655653  0.299604  0.0102574
0.117188  -0.00648522  0.299619  0.0103974
0.119141  -0.00641294  0.299635  0.0105357
0.121094  -0.0063397  0.299651  0.0106724
0.123047  -0.0062655  0.299667  0.0108074
0.125  -0.00619035  0.299684  0.0109408
0.126953  -0.00611428  0.2997  0.0110724
