# D = 1
# x/p  delta  log(2+delta)  velocity
0.265625  0.000980171  0.301243  0.00158385
0.267578  0.00110222  0.301269  0.00158181
0.269531  0.00122411  0.301296  0.00157954
0.271484  0.00134581  0.301322  0.00157703
0.273438  0.0014673  0.301349  0.00157428
0.275391  0.00158858  0.301375  0.0015713
0.277344  0.00170962  0.301401  0.00156808
0.279297  0.0018304  0.301427  0.00156462
0.28125  0.0019509  0.301453  0.00156093
0.283203  0.00207111  0.301479  0.001557
0.285156  0.00219101  0.301506  0.00155284
0.287109  0.00231058  0.301531  0.00154844
0.289062  0.0024298  0.301557  0.00154381
0.291016  0.00254866  0.301583  0.00153895
0.292969  0.00266713  0.301609  0.00153386
0.294922  0.0027852  0.301634  0.00152853
0.296875  0.00290285  0.30166  0.00152298
0.298828  0.00302006  0.301685  0.0015172
0.300781  0.00313682  0.301711  0.00151118
0.302734  0.0032531  0.301736  0.00150494
0.304688  0.0033689  0.301761  0.00149848
0.306641  0.00348419  0.301786  0.00149178
0.308594  0.00359895  0.301811  0.00148487
0.310547  0.00371317  0.301836  0.00147773
0.3125  0.00382683  0.30186  0.00147036
0.314453  0.00393992  0.301885  0.00146278
0.316406  0.00405241  0.301909  0.00145497
0.318359  0.0041643  0.301933  0.00144695
0.320312  0.00427555  0.301957  0.00143871
0.322266  0.00438616  0.301981  0.00143025
0.324219  0.00449611  0.302005  0.00142157
0.326172  0.00460539  0.302029  0.00141269
0.328125  0.00471397  0.302052  0.00140359
0.330078  0.00482184  0.302076  0.00139427
0.332031  0.00492898  0.302099  0.00138475
0.333984  0.00503538  0.302122  0.00137502
0.335938  0.00514103  0.302145  0.00136508
0.337891  0.0052459  0.302168  0.00135494
0.339844  0.00534998  0.30219  0.00134459
0.341797  0.00545325  0.302213  0.00133404
0.34375  0.0055557  0.302235  0.00132329
0.345703  0.00565732  0.302257  0.00131234
0.347656  0.00575808  0.302279  0.00130119
0.349609  0.00585798  0.3023  0.00128985
0.351562  0.00595699  0.302322  0.00127831
0.353516  0.00605511  0.302343  0.00126658
0.355469  0.00615232  0.302364  0.00125466
0.357422  0.00624859  0.302385  0.00124255
0.359375  0.00634393  0.302405  0.00123025
0.361328  0.00643832  0.302426  0.00121777
0.363281  0.00653173  0.302446  0.0012051
0.365234  0.00662416  0.302466  0.00119226
0.367188  0.00671559  0.302486  0.00117923
0.369141  0.00680601  0.302505  0.00116603
0.371094  0.00689541  0.302525  0.00115265
0.373047  0.00698376  0.302544  0.00113909
0.375  0.00707107  0.302563  0.00112537
0.376953  0.00715731  0.302581  0.00111147
0.378906  0.00724247  0.3026  0.00109741
0.380859  0.00732654  0.302618  0.00108318
0.382812  0.00740951  0.302636  0.00106879
0.384766  0.00749136  0.302654  0.00105424
0.386719  0.00757209  0.302671  0.00103953
0.388672  0.00765167  0.302688  0.00102466
0.390625  0.0077301  0.302705  0.00100964
0.392578  0.00780737  0.302722  0.000994469
0.394531  0.00788346  0.302739  0.000979146
0.396484  0.00795837  0.302755  0.000963676
0.398438  0.00803208  0.302771  0.000948061
0.400391  0.00810457  0.302786  0.000932302
0.402344  0.00817585  0.302802  0.000916404
0.404297  0.00824589  0.302817  0.000900367
0.40625  0.0083147  0.302832  0.000884195
0.408203  0.00838225  0.302846  0.000867889
0.410156  0.00844854  0.302861  0.000851453
0.412109  0.00851355  0.302875  0.000834889
0.414062  0.00857729  0.302889  0.000818199
0.416016  0.00863973  0.302902  0.000801386
0.417969  0.00870087  0.302915  0.000784452
0.419922  0.0087607  0.302928  0.0007674
0.421875  0.00881921  0.302941  0.000750232
0.423828  0.0088764  0.302953  0.000732951
0.425781  0.00893224  0.302965  0.00071556
0.427734  0.00898674  0.302977  0.000698061
0.429688  0.00903989  0.302989  0.000680458
0.431641  0.00909168  0.303  0.000662751
0.433594  0.0091421  0.303011  0.000644945
0.435547  0.00919114  0.303021  0.000627042
0.4375  0.0092388  0.303032  0.000609044
0.439453  0.00928506  0.303042  0.000590954
0.441406  0.00932993  0.303051  0.000572776
0.443359  0.00937339  0.303061  0.000554511
