# D = 59.06
# x/p  delta  log(2+delta)  velocity
0.265625  -0.000788463  0.300859  -0.0195504
0.267578  -0.000883876  0.300838  -0.0195284
0.269531  -0.000979147  0.300817  -0.0195036
0.271484  -0.00107426  0.300797  -0.0194757
0.273438  -0.0011692  0.300776  -0.0194449
0.275391  -0.00126396  0.300755  -0.0194112
0.277344  -0.00135852  0.300735  -0.0193745
0.279297  -0.00145286  0.300714  -0.0193349
0.28125  -0.00154698  0.300694  -0.0192924
0.283203  -0.00164085  0.300674  -0.0192469
0.285156  -0.00173447  0.300653  -0.0191985
0.287109  -0.00182782  0.300633  -0.0191472
0.289062  -0.00192088  0.300613  -0.019093
0.291016  -0.00201365  0.300593  -0.0190359
0.292969  -0.0021061  0.300572  -0.0189759
0.294922  -0.00219823  0.300552  -0.018913
0.296875  -0.00229002  0.300532  -0.0188472
0.298828  -0.00238145  0.300513  -0.0187785
0.300781  -0.00247252  0.300493  -0.018707
0.302734  -0.00256321  0.300473  -0.0186326
0.304688  -0.00265351  0.300453  -0.0185554
0.306641  -0.00274339  0.300434  -0.0184754
0.308594  -0.00283286  0.300414  -0.0183925
0.310547  -0.0029219  0.300395  -0.0183068
0.3125  -0.00301048  0.300376  -0.0182184
0.314453  -0.00309861  0.300357  -0.0181271
0.316406  -0.00318626  0.300338  -0.0180331
0.318359  -0.00327343  0.300319  -0.0179363
0.320312  -0.0033601  0.3003  -0.0178368
0.322266  -0.00344625  0.300281  -0.0177345
0.324219  -0.00353188  0.300262  -0.0176295
0.326172  -0.00361697  0.300244  -0.0175218
0.328125  -0.00370152  0.300225  -0.0174114
0.330078  -0.0037855  0.300207  -0.0172984
0.332031  -0.0038689  0.300189  -0.0171827
0.333984  -0.00395172  0.300171  -0.0170644
0.335938  -0.00403393  0.300153  -0.0169434
0.337891  -0.00411554  0.300135  -0.0168198
0.339844  -0.00419652  0.300118  -0.0166937
0.341797  -0.00427686  0.3001  -0.016565
0.34375  -0.00435656  0.300083  -0.0164337
0.345703  -0.00443559  0.300066  -0.0162999
0.347656  -0.00451396  0.300049  -0.0161636
0.349609  -0.00459164  0.300032  -0.0160248
0.351562  -0.00466862  0.300015  -0.0158835
0.353516  -0.00474491  0.299998  -0.0157398
0.355469  -0.00482047  0.299982  -0.0155937
0.357422  -0.00489531  0.299966  -0.0154451
0.359375  -0.0049694  0.29995  -0.0152942
0.361328  -0.00504275  0.299934  -0.0151409
0.363281  -0.00511533  0.299918  -0.0149853
0.365234  -0.00518715  0.299902  -0.0148274
0.367188  -0.00525818  0.299887  -0.0146671
0.369141  -0.00532841  0.299871  -0.0145046
0.371094  -0.00539785  0.299856  -0.0143399
0.373047  -0.00546647  0.299841  -0.0141729
0.375  -0.00553427  0.299827  -0.0140037
0.376953  -0.00560123  0.299812  -0.0138324
0.378906  -0.00566736  0.299798  -0.0136589
0.380859  -0.00573262  0.299783  -0.0134834
0.382812  -0.00579703  0.299769  -0.0133057
0.384766  -0.00586056  0.299756  -0.0131259
0.386719  -0.00592322  0.299742  -0.0129442
0.388672  -0.00598498  0.299728  -0.0127604
0.390625  -0.00604584  0.299715  -0.0125746
0.392578  -0.00610579  0.299702  -0.0123869
0.394531  -0.00616483  0.299689  -0.0121973
0.396484  -0.00622294  0.299677  -0.0120058
0.398438  -0.00628012  0.299664  -0.0118124
0.400391  -0.00633635  0.299652  -0.0116171
0.402344  -0.00639163  0.29964  -0.0114201
0.404297  -0.00644595  0.299628  -0.0112213
0.40625  -0.00649931  0.299616  -0.0110207
0.408203  -0.00655169  0.299605  -0.0108185
0.410156  -0.00660309  0.299594  -0.0106145
0.412109  -0.0066535  0.299583  -0.0104089
0.414062  -0.00670291  0.299572  -0.0102017
0.416016  -0.00675131  0.299561  -0.00999288
0.417969  -0.0067987  0.299551  -0.00978251
0.419922  -0.00684508  0.299541  -0.00957061
0.421875  -0.00689043  0.299531  -0.00935723
0.423828  -0.00693474  0.299522  -0.00914238
0.425781  -0.00697802  0.299512  -0.00892612
0.427734  -0.00702025  0.299503  -0.00870846
0.429688  -0.00706144  0.299494  -0.00848944
0.431641  -0.00710156  0.299485  -0.0082691
0.433594  -0.00714062  0.299477  -0.00804746
0.435547  -0.00717862  0.299468  -0.00782458
0.4375  -0.00721553  0.29946  -0.00760047
0.439453  -0.00725137  0.299453  -0.00737517
0.441406  -0.00728613  0.299445  -0.00714873
0.443359  -0.00731979  0.299438  -0.00692116
0.445312  -0.00735236  0.299431  -0.00669252
0.447266  -0.00738383  0.299424  -0.00646283
0.449219  -0.00741419  0.299417  -0.00623213
0.451172  -0.00744345  0.299411  -0.00600046
0.453125  -0.00747159  0.299405  -0.00576785
0.455078  -0.00749862  0.299399  -0.00553434
0.457031  -0.00752452  0.299393  -0.00529996
0.458984  -0.00754931  0.299388  -0.00506475
0.460938  -0.00757296  0.299382  -0.00482876
0.462891  -0.00759548  0.299378  -0.00459201
0.464844  -0.00761686  0.299373  -0.00435453
0.466797  -0.00763711  0.299368  -0.00411638
0.46875  -0.00765622  0.299364  -0.00387759
0.470703  -0.00767418  0.29936  -0.00363819
0.472656  -0.00769099  0.299357  -0.00339822
0.474609  -0.00770666  0.299353  -0.00315771
0.476562  -0.00772117  0.29935  -0.00291672
0.478516  -0.00773454  0.299347  -0.00267526
0.480469  -0.00774674  0.299345  -0.00243339
0.482422  -0.00775779  0.299342  -0.00219114
0.484375  -0.00776768  0.29934  -0.00194854
0.486328  -0.00777641  0.299338  -0.00170564
0.488281  -0.00778398  0.299336  -0.00146248
0.490234  -0.00779039  0.299335  -0.00121908
0.492188  -0.00779563  0.299334  -0.000975494
0.494141  -0.00779971  0.299333  -0.000731754
0.496094  -0.00780262  0.299332  -0.0004879
0.498047  -0.00780437  0.299332  -0.000243969
0.5  -0.00780495  0.299332  5.50523e-15
0.501953  -0.00780437  0.299332  0.000243969
0.503906  -0.00780262  0.299332  0.0004879
0.505859  -0.00779971  0.299333  0.000731754
0.507812  -0.00779563  0.299334  0.000975494
0.509766  -0.00779039  0.299335  0.00121908
0.511719  -0.00778398  0.299336  0.00146248
0.513672  -0.00777641  0.299338  0.00170564
0.515625  -0.00776768  0.29934  0.00194854
0.517578  -0.00775779  0.299342  0.00219114
0.519531  -0.00774674  0.299345  0.00243339
0.521484  -0.00773454  0.299347  0.00267526
0.523438  -0.00772117  0.29935  0.00291672
0.525391  -0.00770666  0.299353  0.00315771
0.527344  -0.00769099  0.299357  0.00339822
0.529297  -0.00767418  0.29936  0.00363819
0.53125  -0.00765622  0.299364  0.00387759
0.533203  -0.00763711  0.299368  0.00411638
0.535156  -0.00761686  0.299373  0.00435453
0.537109  -0.00759548  0.299378  0.00459201
0.539062  -0.00757296  0.299382  0.00482876
0.541016  -0.00754931  0.299388  0.00506475
0.542969  -0.00752452  0.299393  0.00529996
0.544922  -0.00749862  0.299399  0.00553434
0.546875  -0.00747159  0.299405  0.00576785
0.548828  -0.00744345  0.299411  0.00600046
0.550781  -0.00741419  0.299417  0.00623213
0.552734  -0.00738383  0.299424  0.00646283
0.554688  -0.00735236  0.299431  0.00669252
0.556641  -0.00731979  0.299438  0.00692116
0.558594  -0.00728613  0.299445  0.00714873
0.560547  -0.00725137  0.299453  0.00737517
0.5625  -0.00721553  0.29946  0.00760047
0.564453  -0.00717862  0.299468  0.00782458
0.566406  -0.00714062  0.299477  0.00804746
0.568359  -0.00710156  0.299485  0.0082691
0.570312  -0.00706144  0.299494  0.00848944
0.572266  -0.00702025  0.299503  0.00870846
0.574219  -0.00697802  0.299512  0.00892612
0.576172  -0.00693474  0.299522  0.00914238
0.578125  -0.00689043  0.299531  0.00935723
0.580078  -0.00684508  0.299541  0.00957061
0.582031  -0.0067987  0.299551  0.00978251
0.583984  -0.00675131  0.299561  0.00999288
0.585938  -0.00670291  0.299572  0.0102017
0.587891  -0.0066535  0.299583  0.0104089
0.589844  -0.00660309  0.299594  0.0106145
0.591797  -0.00655169  0.299605  0.0108185
0.59375  -0.00649931  0.299616  0.0110207
0.595703  -0.00644595  0.299628  0.0112213
0.597656  -0.00639163  0.29964  0.0114201
0.599609  -0.00633635  0.299652  0.0116171
0.601562  -0.00628012  0.299664  0.0118124
0.603516  -0.00622294  0.299677  0.0120058
0.605469  -0.00616483  0.299689  0.0121973
0.607422  -0.00610579  0.299702  0.0123869
0.609375  -0.00604584  0.299715  0.0125746
0.611328  -0.00598498  0.299728  0.0127604
0.613281  -0.00592322  0.299742  0.0129442
0.615234  -0.00586056  0.299756  0.0131259
0.617188  -0.00579703  0.299769  0.0133057
0.619141  -0.00573262  0.299783  0.0134834
0.621094  -0.00566736  0.299798  0.0136589
0.623047  -0.00560123  0.299812  0.0138324
0.625  -0.00553427  0.299827  0.0140037
0.626953  -0.00546647  0.299841  0.0141729
0.628906  -0.00539785  0.299856  0.0143399
0.630859  -0.00532841  0.299871  0.0145046
0.632812  -0.00525818  0.299887  0.0146671
0.634766  -0.00518715  0.299902  0.0148274
0.636719  -0.00511533  0.299918  0.0149853
0.638672  -0.00504275  0.299934  0.0151409
0.640625  -0.0049694  0.29995  0.0152942
0.642578  -0.00489531  0.299966  0.0154451
0.644531  -0.00482047  0.299982  0.0155937
0.646484  -0.00474491  0.299998  0.0157398
0.648438  -0.00466862  0.300015  0.0158835
0.650391  -0.00459164  0.300032  0.0160248
0.652344  -0.00451396  0.300049  0.0161636
0.654297  -0.00443559  0.300066  0.0162999
0.65625  -0.00435656  0.300083  0.0164337
0.658203  -0.00427686  0.3001  0.016565
0.660156  -0.00419652  0.300118  0.0166937
0.662109  -0.00411554  0.300135  0.0168198
0.664062  -0.00403393  0.300153  0.0169434
0.666016  -0.00395172  0.300171  0.0170644
0.667969  -0.0038689  0.300189  0.0171827
0.669922  -0.0037855  0.300207  0.0172984
0.671875  -0.00370152  0.300225  0.0174114
0.673828  -0.00361697  0.300244  0.0175218
0.675781  -0.00353188  0.300262  0.0176295
0.677734  -0.00344625  0.300281  0.0177345
0.679688  -0.0033601  0.3003  0.0178368
0.681641  -0.00327343  0.300319  0.0179363
0.683594  -0.00318626  0.300338  0.0180331
0.685547  -0.00309861  0.300357  0.0181271
0.6875  -0.00301048  0.300376  0.0182184
0.689453  -0.0029219  0.300395  0.0183068
0.691406  -0.00283286  0.300414  0.0183925
0.693359  -0.00274339  0.300434  0.0184754
0.695312  -0.00265351  0.300453  0.0185554
0.697266  -0.00256321  0.300473  0.0186326
0.699219  -0.00247252  0.300493  0.018707
0.701172  -0.00238145  0.300513  0.0187785
0.703125  -0.00229002  0.300532  0.0188472
0.705078  -0.00219823  0.300552  0.018913
0.707031  -0.0021061  0.300572  0.0189759
0.708984  -0.00201365  0.300593  0.0190359
0.710938  -0.00192088  0.300613  0.019093
0.712891  -0.00182782  0.300633  0.0191472
0.714844  -0.00173447  0.300653  0.0191985
0.716797  -0.00164085  0.300674  0.0192469
0.71875  -0.00154698  0.300694  0.0192924
0.720703  -0.00145286  0.300714  0.0193349
0.722656  -0.00135852  0.300735  0.0193745
0.724609  -0.00126396  0.300755  0.0194112
0.726562  -0.0011692  0.300776  0.0194449
0.728516  -0.00107426  0.300797  0.0194757
0.730469  -0.000979147  0.300817  0.0195036
0.732422  -0.000883876  0.300838  0.0195284
0.734375  -0.000788463  0.300859  0.0195504
0.736328  -0.000692921  0.30088  0.0195693
0.738281  -0.000597265  0.3009  0.0195854
0.740234  -0.000501509  0.300921  0.0195984
0.742188  -0.000405669  0.300942  0.0196085
0.744141  -0.000309757  0.300963  0.0196157
0.746094  -0.000213789  0.300984  0.0196198
0.748047  -0.000117779  0.301004  0.0196211
0.75  -2.17411e-05  0.301025  0.0196193
0.751953  7.43097e-05  0.301046  0.0196146
0.753906  0.000170359  0.301067  0.019607
0.755859  0.000266393  0.301088  0.0195964
0.757812  0.000362396  0.301109  0.0195829
0.759766  0.000458354  0.30113  0.0195664
0.761719  0.000554253  0.30115  0.019547
0.763672  0.000650079  0.301171  0.0195246
0.765625  0.000745816  0.301192  0.0194993
0.767578  0.000841451  0.301213  0.0194711
0.769531  0.000936968  0.301233  0.01944
0.771484  0.00103235  0.301254  0.019406
0.773438  0.00112759  0.301275  0.019369
0.775391  0.00122267  0.301295  0.0193292
0.777344  0.00131758  0.301316  0.0192864
0.779297  0.00141229  0.301337  0.0192408
0.78125  0.00150681  0.301357  0.0191923
0.783203  0.0016011  0.301378  0.0191409
0.785156  0.00169516  0.301398  0.0190867
0.787109  0.00178898  0.301418  0.0190296
0.789062  0.00188253  0.301439  0.0189697
0.791016  0.00197581  0.301459  0.018907
0.792969  0.0020688  0.301479  0.0188414
0.794922  0.00216149  0.301499  0.018773
0.796875  0.00225386  0.301519  0.0187019
0.798828  0.0023459  0.301539  0.0186279
0.800781  0.0024376  0.301559  0.0185512
0.802734  0.00252893  0.301579  0.0184717
0.804688  0.00261989  0.301599  0.0183895
0.806641  0.00271047  0.301618  0.0183045
0.808594  0.00280064  0.301638  0.0182169
