# step = 350, time = 0.035
# r  rho_avg  count
0.0078125  11.1615  8
0.0234375  10.8874  24
0.0390625  10.3095  104
0.0546875  9.56877  144
0.0703125  8.72411  272
0.0859375  7.82634  360
0.101562  6.89746  560
0.117188  5.99544  704
0.132812  5.18941  936
0.148438  4.46731  1112
0.164062  3.85215  1392
0.179688  3.33582  1592
0.195312  2.87953  2120
0.210938  2.50025  2208
0.226562  2.19347  2792
0.242188  1.94346  2928
0.257812  1.74141  3416
0.273438  1.57421  3792
0.289062  1.44005  4304
0.304688  1.32497  4784
0.320312  1.2311  5472
0.335938  1.15462  5696
0.351562  1.08877  6384
0.367188  1.03865  6752
0.382812  0.987883  7896
0.398438  0.947781  8072
0.414062  0.911557  8888
0.429688  0.879773  9384
0.445312  0.852831  10112
0.460938  0.824798  10896
0.476562  0.806122  11696
0.492188  0.784724  12576
