# step = 450, time = 0.045, G_eff = 5000, N = 64, iz = 32
# x  y  rho  V
0.0078125  0.0078125  0.389289  0.0252937
0.0078125  0.0234375  0.387656  0.0251844
0.0078125  0.0390625  0.384689  0.024966
0.0078125  0.0546875  0.380995  0.0246388
0.0078125  0.0703125  0.37746  0.0242035
0.0078125  0.0859375  0.375101  0.0236611
0.0078125  0.101562  0.374786  0.0230132
0.0078125  0.117188  0.376971  0.0222621
0.0078125  0.132812  0.381606  0.0214108
0.0078125  0.148438  0.38827  0.0204631
0.0078125  0.164062  0.396493  0.0194236
0.0078125  0.179688  0.406166  0.0182971
0.0078125  0.195312  0.41776  0.0170893
0.0078125  0.210938  0.432113  0.0158062
0.0078125  0.226562  0.450001  0.0144546
0.0078125  0.242188  0.471974  0.0130424
0.0078125  0.257812  0.498596  0.0115784
0.0078125  0.273438  0.530798  0.0100724
0.0078125  0.289062  0.569932  0.00853522
0.0078125  0.304688  0.617544  0.00697946
0.0078125  0.320312  0.675119  0.00541923
0.0078125  0.335938  0.743778  0.0038708
0.0078125  0.351562  0.823768  0.00235278
0.0078125  0.367188  0.913887  0.000886188
0.0078125  0.382812  1.01115  -0.000505692
0.0078125  0.398438  1.11098  -0.00179796
0.0078125  0.414062  1.20781  -0.00296507
0.0078125  0.429688  1.29601  -0.00398208
0.0078125  0.445312  1.37069  -0.00482602
0.0078125  0.460938  1.42834  -0.00547719
0.0078125  0.476562  1.46711  -0.00592011
0.0078125  0.492188  1.48647  -0.00614424
0.0078125  0.507812  1.48647  -0.00614424
0.0078125  0.523438  1.46711  -0.00592011
0.0078125  0.539062  1.42834  -0.00547719
0.0078125  0.554688  1.37069  -0.00482602
0.0078125  0.570312  1.29601  -0.00398208
0.0078125  0.585938  1.20781  -0.00296507
0.0078125  0.601562  1.11098  -0.00179796
0.0078125  0.617188  1.01115  -0.000505692
0.0078125  0.632812  0.913887  0.000886188
0.0078125  0.648438  0.823768  0.00235278
0.0078125  0.664062  0.743778  0.0038708
0.0078125  0.679688  0.675119  0.00541923
0.0078125  0.695312  0.617544  0.00697946
0.0078125  0.710938  0.569932  0.00853522
0.0078125  0.726562  0.530798  0.0100724
0.0078125  0.742188  0.498596  0.0115784
0.0078125  0.757812  0.471974  0.0130424
0.0078125  0.773438  0.450001  0.0144546
0.0078125  0.789062  0.432113  0.0158062
0.0078125  0.804688  0.41776  0.0170893
0.0078125  0.820312  0.406166  0.0182971
0.0078125  0.835938  0.396493  0.0194236
0.0078125  0.851562  0.38827  0.0204631
