# step = 425, time = 0.0425
# r  rho_avg  count
0.0078125  454.408  8
0.0234375  357.611  24
0.0390625  220.082  104
0.0546875  115.325  144
0.0703125  55.7947  272
0.0859375  24.9456  360
0.101562  10.9367  560
0.117188  5.20491  704
0.132812  3.14338  936
0.148438  2.3772  1112
0.164062  2.0595  1392
0.179688  1.8821  1592
0.195312  1.7313  2120
0.210938  1.58999  2208
0.226562  1.46752  2792
0.242188  1.35559  2928
0.257812  1.24859  3416
0.273438  1.15435  3792
0.289062  1.08265  4304
0.304688  1.00929  4784
0.320312  0.952031  5472
0.335938  0.905361  5696
0.351562  0.855257  6384
0.367188  0.825825  6752
0.382812  0.781479  7896
0.398438  0.752356  8072
0.414062  0.722872  8888
0.429688  0.694168  9384
0.445312  0.671291  10112
0.460938  0.645525  10896
0.476562  0.631003  11696
0.492188  0.610693  12576
