# step = 475, time = 0.0475, G_eff = 5000, N = 64, iz = 32
# x  y  rho  V
0.0078125  0.0078125  0.344137  0.0277376
0.0078125  0.0234375  0.342856  0.0276185
0.0078125  0.0390625  0.340761  0.0273807
0.0078125  0.0546875  0.338595  0.0270246
0.0078125  0.0703125  0.33713  0.026551
0.0078125  0.0859375  0.336935  0.0259613
0.0078125  0.101562  0.338229  0.0252573
0.0078125  0.117188  0.340916  0.0244415
0.0078125  0.132812  0.344768  0.0235167
0.0078125  0.148438  0.349686  0.0224867
0.0078125  0.164062  0.355894  0.0213554
0.0078125  0.179688  0.363893  0.0201274
0.0078125  0.195312  0.374188  0.0188082
0.0078125  0.210938  0.387152  0.0174038
0.0078125  0.226562  0.403272  0.0159208
0.0078125  0.242188  0.423542  0.014367
0.0078125  0.257812  0.449593  0.0127511
0.0078125  0.273438  0.483382  0.0110831
0.0078125  0.289062  0.526645  0.00937486
0.0078125  0.304688  0.5805  0.00764064
0.0078125  0.320312  0.645397  0.00589705
0.0078125  0.335938  0.72129  0.00416335
0.0078125  0.351562  0.807685  0.0024614
0.0078125  0.367188  0.903468  0.000815461
0.0078125  0.382812  1.00662  -0.000748147
0.0078125  0.398438  1.11406  -0.00220165
0.0078125  0.414062  1.22177  -0.00351668
0.0078125  0.429688  1.32504  -0.00466531
0.0078125  0.445312  1.41849  -0.00562128
0.0078125  0.460938  1.49611  -0.00636118
0.0078125  0.476562  1.55191  -0.00686588
0.0078125  0.492188  1.58113  -0.00712177
0.0078125  0.507812  1.58113  -0.00712177
0.0078125  0.523438  1.55191  -0.00686588
0.0078125  0.539062  1.49611  -0.00636118
0.0078125  0.554688  1.41849  -0.00562128
0.0078125  0.570312  1.32504  -0.00466531
0.0078125  0.585938  1.22177  -0.00351668
0.0078125  0.601562  1.11406  -0.00220165
0.0078125  0.617188  1.00662  -0.000748147
0.0078125  0.632812  0.903468  0.000815461
0.0078125  0.648438  0.807685  0.0024614
0.0078125  0.664062  0.72129  0.00416335
0.0078125  0.679688  0.645397  0.00589705
0.0078125  0.695312  0.5805  0.00764064
0.0078125  0.710938  0.526645  0.00937486
0.0078125  0.726562  0.483382  0.0110831
0.0078125  0.742188  0.449593  0.0127511
0.0078125  0.757812  0.423542  0.014367
0.0078125  0.773438  0.403272  0.0159208
0.0078125  0.789062  0.387152  0.0174038
0.0078125  0.804688  0.374188  0.0188082
0.0078125  0.820312  0.363893  0.0201274
0.0078125  0.835938  0.355894  0.0213554
0.0078125  0.851562  0.349686  0.0224867
0.0078125  0.867188  0.344768  0.0235167
0.0078125  0.882812  0.340916  0.0244415
0.0078125  0.898438  0.338229  0.0252573
0.0078125  0.914062  0.336935  0.0259613
0.0078125  0.929688  0.33713  0.026551
0.0078125  0.945312  0.338595  0.0270246
0.0078125  0.960938  0.340761  0.0273807
0.0078125  0.976562  0.342856  0.0276185
0.0078125  0.992188  0.344137  0.0277376

0.0234375  0.0078125  0.342856  0.0276185
0.0234375  0.0234375  0.341763  0.0274987
0.0234375  0.0390625  0.340005  0.0272593
0.0234375  0.0546875  0.338237  0.0269008
0.0234375  0.0703125  0.33711  0.0264242
0.0234375  0.0859375  0.337093  0.0258307
0.0234375  0.101562  0.338392  0.0251223
0.0234375  0.117188  0.34098  0.0243013
0.0234375  0.132812  0.344709  0.0233706
0.0234375  0.148438  0.349514  0.0223339
0.0234375  0.164062  0.355586  0.0211952
0.0234375  0.179688  0.363358  0.0199592
0.0234375  0.195312  0.373308  0.0186312
0.0234375  0.210938  0.385861  0.0172173
0.0234375  0.226562  0.401599  0.0157242
0.0234375  0.242188  0.421582  0.0141597
0.0234375  0.257812  0.447435  0.0125324
0.0234375  0.273438  0.481077  0.0108525
0.0234375  0.289062  0.52423  0.00913209
0.0234375  0.304688  0.578047  0.00738526
0.0234375  0.320312  0.64304  0.00562881
0.0234375  0.335938  0.719214  0.00388212
0.0234375  0.351562  0.806086  0.00216722
0.0234375  0.367188  0.902516  0.000508559
0.0234375  0.382812  1.00645  -0.00106731
0.0234375  0.398438  1.11472  -0.00253235
0.0234375  0.414062  1.2232  -0.0038579
0.0234375  0.429688  1.32699  -0.00501575
0.0234375  0.445312  1.42057  -0.00597935
0.0234375  0.460938  1.49798  -0.00672513
0.0234375  0.476562  1.55346  -0.00723381
0.0234375  0.492188  1.58246  -0.00749171
0.0234375  0.507812  1.58246  -0.00749171
0.0234375  0.523438  1.55346  -0.00723381
0.0234375  0.539062  1.49798  -0.00672513
0.0234375  0.554688  1.42057  -0.00597935
0.0234375  0.570312  1.32699  -0.00501575
0.0234375  0.585938  1.2232  -0.0038579
0.0234375  0.601562  1.11472  -0.00253235
0.0234375  0.617188  1.00645  -0.00106731
0.0234375  0.632812  0.902516  0.000508559
0.0234375  0.648438  0.806086  0.00216722
0.0234375  0.664062  0.719214  0.00388212
0.0234375  0.679688  0.64304  0.00562881
0.0234375  0.695312  0.578047  0.00738526
0.0234375  0.710938  0.52423  0.00913209
0.0234375  0.726562  0.481077  0.0108525
0.0234375  0.742188  0.447435  0.0125324
0.0234375  0.757812  0.421582  0.0141597
0.0234375  0.773438  0.401599  0.0157242
0.0234375  0.789062  0.385861  0.0172173
0.0234375  0.804688  0.373308  0.0186312
0.0234375  0.820312  0.363358  0.0199592
0.0234375  0.835938  0.355586  0.0211952
0.0234375  0.851562  0.349514  0.0223339
0.0234375  0.867188  0.344709  0.0233706
0.0234375  0.882812  0.34098  0.0243013
0.0234375  0.898438  0.338392  0.0251223
0.0234375  0.914062  0.337093  0.0258307
0.0234375  0.929688  0.33711  0.0264242
0.0234375  0.945312  0.338237  0.0269008
0.0234375  0.960938  0.340005  0.0272593
0.0234375  0.976562  0.341763  0.0274987
0.0234375  0.992188  0.342856  0.0276185

0.0390625  0.0078125  0.340761  0.0273807
0.0390625  0.0234375  0.340005  0.0272593
0.0390625  0.0390625  0.338843  0.0270168
0.0390625  0.0546875  0.337768  0.0266536
0.0390625  0.0703125  0.337215  0.0261709
0.0390625  0.0859375  0.337479  0.0255699
0.0390625  0.101562  0.338746  0.0248525
0.0390625  0.117188  0.341112  0.0240211
0.0390625  0.132812  0.344583  0.0230786
0.0390625  0.148438  0.349162  0.0220286
0.0390625  0.164062  0.354993  0.020875
0.0390625  0.179688  0.362389  0.0196227
0.0390625  0.195312  0.371765  0.018277
0.0390625  0.210938  0.383617  0.016844
0.0390625  0.226562  0.398682  0.0153306
0.0390625  0.242188  0.418137  0.0137444
0.0390625  0.257812  0.443619  0.0120943
0.0390625  0.273438  0.476992  0.0103906
0.0390625  0.289062  0.519956  0.00864543
0.0390625  0.304688  0.573708  0.00687316
0.0390625  0.320312  0.638859  0.00509077
0.0390625  0.335938  0.715503  0.0033179
0.0390625  0.351562  0.803194  0.00157688
0.0390625  0.367188  0.90077  -0.000107427
0.0390625  0.382812  1.00611  -0.00170802
0.0390625  0.398438  1.11594  -0.00319634
0.0390625  0.414062  1.22589  -0.00454315
0.0390625  0.429688  1.33073  -0.00571965
0.0390625  0.445312  1.4247  -0.00669877
0.0390625  0.460938  1.50192  -0.00745651
0.0390625  0.476562  1.55698  -0.00797332
0.0390625  0.492188  1.58568  -0.00823532
0.0390625  0.507812  1.58568  -0.00823532
0.0390625  0.523438  1.55698  -0.00797332
0.0390625  0.539062  1.50192  -0.00745651
0.0390625  0.554688  1.4247  -0.00669877
0.0390625  0.570312  1.33073  -0.00571965
0.0390625  0.585938  1.22589  -0.00454315
0.0390625  0.601562  1.11594  -0.00319634
0.0390625  0.617188  1.00611  -0.00170802
0.0390625  0.632812  0.90077  -0.000107427
0.0390625  0.648438  0.803194  0.00157688
0.0390625  0.664062  0.715503  0.0033179
0.0390625  0.679688  0.638859  0.00509077
0.0390625  0.695312  0.573708  0.00687316
0.0390625  0.710938  0.519956  0.00864543
0.0390625  0.726562  0.476992  0.0103906
0.0390625  0.742188  0.443619  0.0120943
0.0390625  0.757812  0.418137  0.0137444
0.0390625  0.773438  0.398682  0.0153306
0.0390625  0.789062  0.383617  0.016844
0.0390625  0.804688  0.371765  0.018277
0.0390625  0.820312  0.362389  0.0196227
0.0390625  0.835938  0.354993  0.020875
0.0390625  0.851562  0.349162  0.0220286
0.0390625  0.867188  0.344583  0.0230786
0.0390625  0.882812  0.341112  0.0240211
0.0390625  0.898438  0.338746  0.0248525
0.0390625  0.914062  0.337479  0.0255699
0.0390625  0.929688  0.337215  0.0261709
0.0390625  0.945312  0.337768  0.0266536
0.0390625  0.960938  0.338843  0.0270168
0.0390625  0.976562  0.340005  0.0272593
0.0390625  0.992188  0.340761  0.0273807

0.0546875  0.0078125  0.338595  0.0270246
0.0546875  0.0234375  0.338237  0.0269008
0.0546875  0.0390625  0.337768  0.0266536
0.0546875  0.0546875  0.337479  0.0262836
0.0546875  0.0703125  0.337546  0.0257918
0.0546875  0.0859375  0.338075  0.0251796
0.0546875  0.101562  0.339228  0.0244488
0.0546875  0.117188  0.341243  0.0236018
0.0546875  0.132812  0.344324  0.0226414
0.0546875  0.148438  0.34859  0.0215712
0.0546875  0.164062  0.354141  0.0203952
0.0546875  0.179688  0.36115  0.0191182
0.0546875  0.195312  0.369931  0.0177457
0.0546875  0.210938  0.38103  0.0162837
0.0546875  0.226562  0.395341  0.0147393
0.0546875  0.242188  0.414176  0.0131203
0.0546875  0.257812  0.4392  0.0114355
0.0546875  0.273438  0.472227  0.00969557
0.0546875  0.289062  0.514928  0.00791276
0.0546875  0.304688  0.568555  0.00610179
0.0546875  0.320312  0.633831  0.00427992
0.0546875  0.335938  0.710978  0.00246721
0.0546875  0.351562  0.799632  0.000686467
0.0546875  0.367188  0.898646  -0.00103687
0.0546875  0.382812  1.00585  -0.00267511
0.0546875  0.398438  1.11783  -0.00419891
0.0546875  0.414062  1.22992  -0.00557816
0.0546875  0.429688  1.33646  -0.00678322
0.0546875  0.445312  1.4314  -0.00778617
0.0546875  0.460938  1.5089  -0.00856236
0.0546875  0.476562  1.56387  -0.00909174
0.0546875  0.492188  1.59244  -0.00936011
0.0546875  0.507812  1.59244  -0.00936011
0.0546875  0.523438  1.56387  -0.00909174
0.0546875  0.539062  1.5089  -0.00856236
0.0546875  0.554688  1.4314  -0.00778617
0.0546875  0.570312  1.33646  -0.00678322
0.0546875  0.585938  1.22992  -0.00557816
0.0546875  0.601562  1.11783  -0.00419891
0.0546875  0.617188  1.00585  -0.00267511
0.0546875  0.632812  0.898646  -0.00103687
0.0546875  0.648438  0.799632  0.000686467
0.0546875  0.664062  0.710978  0.00246721
0.0546875  0.679688  0.633831  0.00427992
0.0546875  0.695312  0.568555  0.00610179
0.0546875  0.710938  0.514928  0.00791276
0.0546875  0.726562  0.472227  0.00969557
0.0546875  0.742188  0.4392  0.0114355
0.0546875  0.757812  0.414176  0.0131203
0.0546875  0.773438  0.395341  0.0147393
0.0546875  0.789062  0.38103  0.0162837
0.0546875  0.804688  0.369931  0.0177457
0.0546875  0.820312  0.36115  0.0191182
0.0546875  0.835938  0.354141  0.0203952
0.0546875  0.851562  0.34859  0.0215712
0.0546875  0.867188  0.344324  0.0226414
0.0546875  0.882812  0.341243  0.0236018
0.0546875  0.898438  0.339228  0.0244488
0.0546875  0.914062  0.338075  0.0251796
0.0546875  0.929688  0.337546  0.0257918
0.0546875  0.945312  0.337479  0.0262836
0.0546875  0.960938  0.337768  0.0266536
0.0546875  0.976562  0.338237  0.0269008
0.0546875  0.992188  0.338595  0.0270246

0.0703125  0.0078125  0.33713  0.026551
0.0703125  0.0234375  0.33711  0.0264242
0.0703125  0.0390625  0.337215  0.0261709
0.0703125  0.0546875  0.337546  0.0257918
0.0703125  0.0703125  0.338067  0.0252879
0.0703125  0.0859375  0.33873  0.0246607
0.0703125  0.101562  0.339674  0.023912
0.0703125  0.117188  0.34126  0.0230441
0.0703125  0.132812  0.343892  0.0220598
0.0703125  0.148438  0.347828  0.0209624
0.0703125  0.164062  0.353153  0.0197562
0.0703125  0.179688  0.359905  0.018446
0.0703125  0.195312  0.368288  0.0170372
0.0703125  0.210938  0.378854  0.0155361
0.0703125  0.226562  0.392602  0.0139497
0.0703125  0.242188  0.41094  0.0122861
0.0703125  0.257812  0.43553  0.0105543
0.0703125  0.273438  0.468137  0.00876504
0.0703125  0.289062  0.510434  0.00693111
0.0703125  0.304688  0.563779  0.00506751
0.0703125  0.320312  0.629073  0.00319195
0.0703125  0.335938  0.706712  0.00132501
0.0703125  0.351562  0.796443  -0.000509832
0.0703125  0.367188  0.897149  -0.00228632
0.0703125  0.382812  1.00661  -0.00397585
0.0703125  0.398438  1.12128  -0.00554802
0.0703125  0.414062  1.2362  -0.00697163
0.0703125  0.429688  1.34531  -0.00821582
0.0703125  0.445312  1.44219  -0.00925158
0.0703125  0.460938  1.52092  -0.0100533
0.0703125  0.476562  1.57657  -0.0106001
0.0703125  0.492188  1.60544  -0.0108773
0.0703125  0.507812  1.60544  -0.0108773
0.0703125  0.523438  1.57657  -0.0106001
0.0703125  0.539062  1.52092  -0.0100533
0.0703125  0.554688  1.44219  -0.00925158
0.0703125  0.570312  1.34531  -0.00821582
0.0703125  0.585938  1.2362  -0.00697163
0.0703125  0.601562  1.12128  -0.00554802
0.0703125  0.617188  1.00661  -0.00397585
0.0703125  0.632812  0.897149  -0.00228632
0.0703125  0.648438  0.796443  -0.000509832
0.0703125  0.664062  0.706712  0.00132501
0.0703125  0.679688  0.629073  0.00319195
0.0703125  0.695312  0.563779  0.00506751
0.0703125  0.710938  0.510434  0.00693111
0.0703125  0.726562  0.468137  0.00876504
0.0703125  0.742188  0.43553  0.0105543
0.0703125  0.757812  0.41094  0.0122861
0.0703125  0.773438  0.392602  0.0139497
0.0703125  0.789062  0.378854  0.0155361
0.0703125  0.804688  0.368288  0.0170372
0.0703125  0.820312  0.359905  0.018446
0.0703125  0.835938  0.353153  0.0197562
0.0703125  0.851562  0.347828  0.0209624
0.0703125  0.867188  0.343892  0.0220598
0.0703125  0.882812  0.34126  0.0230441
0.0703125  0.898438  0.339674  0.023912
0.0703125  0.914062  0.33873  0.0246607
0.0703125  0.929688  0.338067  0.0252879
0.0703125  0.945312  0.337546  0.0257918
0.0703125  0.960938  0.337215  0.0261709
0.0703125  0.976562  0.33711  0.0264242
0.0703125  0.992188  0.33713  0.026551

0.0859375  0.0078125  0.336935  0.0259613
0.0859375  0.0234375  0.337093  0.0258307
0.0859375  0.0390625  0.337479  0.0255699
0.0859375  0.0546875  0.338075  0.0251796
0.0859375  0.0703125  0.33873  0.0246607
0.0859375  0.0859375  0.339325  0.0240149
0.0859375  0.101562  0.339991  0.0232437
0.0859375  0.117188  0.341174  0.0223495
0.0859375  0.132812  0.34343  0.0213349
0.0859375  0.148438  0.347133  0.0202034
0.0859375  0.164062  0.352359  0.018959
0.0859375  0.179688  0.359059  0.0176066
0.0859375  0.195312  0.367354  0.0161517
0.0859375  0.210938  0.377777  0.0146008
0.0859375  0.226562  0.391335  0.012961
0.0859375  0.242188  0.409407  0.0112404
0.0859375  0.257812  0.433593  0.00944851
0.0859375  0.273438  0.465637  0.00759633
0.0859375  0.289062  0.507332  0.00569695
0.0859375  0.304688  0.560288  0.00376588
0.0859375  0.320312  0.625685  0.00182139
0.0859375  0.335938  0.704097  -0.000115207
0.0859375  0.351562  0.795307  -0.00201955
0.0859375  0.367188  0.898124  -0.00386438
0.0859375  0.382812  1.01022  -0.00561986
0.0859375  0.398438  1.12791  -0.00725432
0.0859375  0.414062  1.24607  -0.00873512
0.0859375  0.429688  1.35839  -0.0100299
0.0859375  0.445312  1.45814  -0.0111083
0.0859375  0.460938  1.53914  -0.0119433
0.0859375  0.476562  1.59636  -0.0125129
0.0859375  0.492188  1.62603  -0.0128018
0.0859375  0.507812  1.62603  -0.0128018
0.0859375  0.523438  1.59636  -0.0125129
0.0859375  0.539062  1.53914  -0.0119433
0.0859375  0.554688  1.45814  -0.0111083
0.0859375  0.570312  1.35839  -0.0100299
0.0859375  0.585938  1.24607  -0.00873512
0.0859375  0.601562  1.12791  -0.00725432
0.0859375  0.617188  1.01022  -0.00561986
0.0859375  0.632812  0.898124  -0.00386438
0.0859375  0.648438  0.795307  -0.00201955
0.0859375  0.664062  0.704097  -0.000115207
0.0859375  0.679688  0.625685  0.00182139
0.0859375  0.695312  0.560288  0.00376588
0.0859375  0.710938  0.507332  0.00569695
0.0859375  0.726562  0.465637  0.00759633
0.0859375  0.742188  0.433593  0.00944851
0.0859375  0.757812  0.409407  0.0112404
0.0859375  0.773438  0.391335  0.012961
0.0859375  0.789062  0.377777  0.0146008
0.0859375  0.804688  0.367354  0.0161517
0.0859375  0.820312  0.359059  0.0176066
0.0859375  0.835938  0.352359  0.018959
0.0859375  0.851562  0.347133  0.0202034
0.0859375  0.867188  0.34343  0.0213349
0.0859375  0.882812  0.341174  0.0223495
0.0859375  0.898438  0.339991  0.0232437
0.0859375  0.914062  0.339325  0.0240149
0.0859375  0.929688  0.33873  0.0246607
0.0859375  0.945312  0.338075  0.0251796
0.0859375  0.960938  0.337479  0.0255699
0.0859375  0.976562  0.337093  0.0258307
0.0859375  0.992188  0.336935  0.0259613

0.101562  0.0078125  0.338229  0.0252573
0.101562  0.0234375  0.338392  0.0251223
0.101562  0.0390625  0.338746  0.0248525
0.101562  0.0546875  0.339228  0.0244488
0.101562  0.0703125  0.339674  0.023912
0.101562  0.0859375  0.339991  0.0232437
0.101562  0.101562  0.340354  0.0224455
