# step = 25, time = 0.0025
# r  rho_avg  count
0.0078125  1.94208  8
0.0234375  1.89638  24
0.0390625  1.81353  104
0.0546875  1.72688  144
0.0703125  1.65059  272
0.0859375  1.58456  360
0.101562  1.52248  560
0.117188  1.45983  704
0.132812  1.39748  936
0.148438  1.33862  1112
0.164062  1.288  1392
0.179688  1.24543  1592
0.195312  1.20709  2120
0.210938  1.17234  2208
0.226562  1.14028  2792
0.242188  1.11038  2928
0.257812  1.08255  3416
0.273438  1.05558  3792
0.289062  1.03016  4304
0.304688  1.00703  4784
0.320312  0.987499  5472
0.335938  0.973126  5696
0.351562  0.964905  6384
0.367188  0.962572  6752
0.382812  0.965382  7896
0.398438  0.971387  8072
0.414062  0.977846  8888
0.429688  0.982406  9384
0.445312  0.983874  10112
0.460938  0.98263  10896
0.476562  0.980267  11696
0.492188  0.978631  12576
