# step = 450, time = 0.045
# r  rho_avg  count
0.0078125  1187.77  8
0.0234375  708.341  24
0.0390625  280.932  104
0.0546875  100.757  144
0.0703125  48.5587  272
0.0859375  26.338  360
0.101562  13.3742  560
0.117188  6.34647  704
0.132812  3.47391  936
0.148438  2.44837  1112
0.164062  2.06305  1392
0.179688  1.84634  1592
0.195312  1.65629  2120
0.210938  1.48219  2208
0.226562  1.34713  2792
0.242188  1.23331  2928
0.257812  1.1285  3416
0.273438  1.04094  3792
0.289062  0.978192  4304
0.304688  0.909532  4784
0.320312  0.855631  5472
0.335938  0.81189  5696
0.351562  0.762659  6384
0.367188  0.736958  6752
0.382812  0.695517  7896
0.398438  0.671968  8072
0.414062  0.64843  8888
0.429688  0.624498  9384
0.445312  0.60523  10112
0.460938  0.581301  10896
0.476562  0.56824  11696
0.492188  0.547528  12576
