# step = 100, time = 0.01
# r  rho_avg  count
0.0078125  1.2831  8
0.0234375  1.28503  24
0.0390625  1.28887  104
0.0546875  1.29366  144
0.0703125  1.29919  272
0.0859375  1.30483  360
0.101562  1.31003  560
0.117188  1.31379  704
0.132812  1.31505  936
0.148438  1.31287  1112
0.164062  1.30649  1392
0.179688  1.29493  1592
0.195312  1.27867  2120
0.210938  1.25751  2208
0.226562  1.23285  2792
0.242188  1.20517  2928
0.257812  1.17625  3416
0.273438  1.14583  3792
0.289062  1.11536  4304
0.304688  1.086  4784
0.320312  1.05976  5472
0.335938  1.03736  5696
0.351562  1.01945  6384
0.367188  1.00641  6752
0.382812  0.995697  7896
0.398438  0.987937  8072
0.414062  0.981074  8888
0.429688  0.975251  9384
0.445312  0.968647  10112
0.460938  0.961336  10896
0.476562  0.953557  11696
0.492188  0.946799  12576
