# step = 50, time = 0.005
# r  rho_avg  count
0.0078125  1.74844  8
0.0234375  1.73659  24
0.0390625  1.71025  104
0.0546875  1.67391  144
0.0703125  1.62809  272
0.0859375  1.57395  360
0.101562  1.51104  560
0.117188  1.44312  704
0.132812  1.37638  936
0.148438  1.31362  1112
0.164062  1.25993  1392
0.179688  1.21688  1592
0.195312  1.18371  2120
0.210938  1.16029  2208
0.226562  1.14327  2792
0.242188  1.12793  2928
0.257812  1.1112  3416
0.273438  1.09117  3792
0.289062  1.0687  4304
0.304688  1.04587  4784
0.320312  1.02508  5472
0.335938  1.00788  5696
0.351562  0.993865  6384
0.367188  0.981802  6752
0.382812  0.970657  7896
0.398438  0.96136  8072
0.414062  0.955599  8888
0.429688  0.954236  9384
0.445312  0.956875  10112
0.460938  0.962278  10896
0.476562  0.968803  11696
0.492188  0.975428  12576
