# step = 150, time = 0.015, G_eff = 5000, N = 64, iz = 32
# x  y  rho  V
0.0078125  0.0078125  0.947947  0.00196073
0.0078125  0.0234375  0.950223  0.00195206
0.0078125  0.0390625  0.953437  0.00193527
0.0078125  0.0546875  0.955865  0.00191122
0.0078125  0.0703125  0.956594  0.00188069
0.0078125  0.0859375  0.955788  0.00184421
0.0078125  0.101562  0.953817  0.00180219
0.0078125  0.117188  0.950371  0.00175501
0.0078125  0.132812  0.94472  0.00170295
0.0078125  0.148438  0.936719  0.0016461
0.0078125  0.164062  0.927158  0.00158429
0.0078125  0.179688  0.917113  0.00151717
0.0078125  0.195312  0.907369  0.00144434
0.0078125  0.210938  0.898509  0.00136545
0.0078125  0.226562  0.891032  0.00128024
0.0078125  0.242188  0.885262  0.00118871
0.0078125  0.257812  0.881479  0.00109113
0.0078125  0.273438  0.880101  0.000988074
0.0078125  0.289062  0.881585  0.000880564
0.0078125  0.304688  0.886074  0.000770108
0.0078125  0.320312  0.892958  0.000658754
0.0078125  0.335938  0.900802  0.000548982
0.0078125  0.351562  0.907765  0.000443439
0.0078125  0.367188  0.912276  0.000344587
0.0078125  0.382812  0.913639  0.000254401
0.0078125  0.398438  0.912259  0.000174198
0.0078125  0.414062  0.909338  0.000104692
0.0078125  0.429688  0.906236  4.62053e-05
0.0078125  0.445312  0.903911  -1.08122e-06
0.0078125  0.460938  0.902694  -3.69574e-05
0.0078125  0.476562  0.902373  -6.11372e-05
0.0078125  0.492188  0.902433  -7.3324e-05
0.0078125  0.507812  0.902433  -7.3324e-05
0.0078125  0.523438  0.902373  -6.11372e-05
0.0078125  0.539062  0.902694  -3.69574e-05
0.0078125  0.554688  0.903911  -1.08122e-06
0.0078125  0.570312  0.906236  4.62053e-05
0.0078125  0.585938  0.909338  0.000104692
0.0078125  0.601562  0.912259  0.000174198
0.0078125  0.617188  0.913639  0.000254401
0.0078125  0.632812  0.912276  0.000344587
0.0078125  0.648438  0.907765  0.000443439
0.0078125  0.664062  0.900802  0.000548982
0.0078125  0.679688  0.892958  0.000658754
0.0078125  0.695312  0.886074  0.000770108
0.0078125  0.710938  0.881585  0.000880564
0.0078125  0.726562  0.880101  0.000988074
0.0078125  0.742188  0.881479  0.00109113
