# step = 500, time = 0.05
# r  rho_avg  count
0.0078125  205.515  8
0.0234375  211.433  24
0.0390625  201.786  104
0.0546875  162.165  144
0.0703125  101.357  272
0.0859375  45.2743  360
0.101562  11.5701  560
0.117188  0.956649  704
0.132812  2.12928  936
0.148438  4.69044  1112
0.164062  5.42024  1392
0.179688  5.06771  1592
0.195312  4.43384  2120
0.210938  3.79159  2208
0.226562  3.09309  2792
0.242188  2.27319  2928
0.257812  1.4385  3416
0.273438  0.737168  3792
0.289062  0.286202  4304
0.304688  0.113777  4784
0.320312  0.22859  5472
0.335938  0.528418  5696
0.351562  0.855385  6384
0.367188  1.10262  6752
0.382812  1.14351  7896
0.398438  1.00438  8072
0.414062  0.736792  8888
0.429688  0.462486  9384
0.445312  0.294923  10112
0.460938  0.266531  10896
0.476562  0.357005  11696
0.492188  0.471975  12576
