# step = 400, time = 0.04
# r  rho_avg  count
0.0078125  71.9216  8
0.0234375  66.2181  24
0.0390625  55.489  104
0.0546875  43.7149  144
0.0703125  32.8862  272
0.0859375  23.761  360
0.101562  16.5716  560
0.117188  11.3469  704
0.132812  7.8947  936
0.148438  5.60575  1112
0.164062  4.15322  1392
0.179688  3.21389  1592
0.195312  2.56528  2120
0.210938  2.12138  2208
0.226562  1.8192  2792
0.242188  1.60297  2928
0.257812  1.44075  3416
0.273438  1.31435  3792
0.289062  1.2214  4304
0.304688  1.13384  4784
0.320312  1.06356  5472
0.335938  1.00423  5696
0.351562  0.945196  6384
0.367188  0.905096  6752
0.382812  0.856424  7896
0.398438  0.822473  8072
0.414062  0.791132  8888
0.429688  0.761143  9384
0.445312  0.737192  10112
0.460938  0.711511  10896
0.476562  0.694931  11696
0.492188  0.67412  12576
