# step = 175, time = 0.0175
# r  rho_avg  count
0.0078125  1.45545  8
0.0234375  1.45683  24
0.0390625  1.46073  104
0.0546875  1.46653  144
0.0703125  1.47259  272
0.0859375  1.47651  360
0.101562  1.47546  560
0.117188  1.4684  704
0.132812  1.45441  936
0.148438  1.43649  1112
0.164062  1.41597  1392
0.179688  1.39357  1592
0.195312  1.37026  2120
0.210938  1.34698  2208
0.226562  1.32228  2792
0.242188  1.29705  2928
0.257812  1.27173  3416
0.273438  1.24507  3792
0.289062  1.21827  4304
0.304688  1.19256  4784
0.320312  1.16561  5472
0.335938  1.13859  5696
0.351562  1.11208  6384
0.367188  1.0844  6752
0.382812  1.05673  7896
0.398438  1.02925  8072
0.414062  1.00314  8888
0.429688  0.978643  9384
0.445312  0.957427  10112
0.460938  0.93872  10896
0.476562  0.922063  11696
0.492188  0.910098  12576
