# step = 375, time = 0.0375
# r  rho_avg  count
0.0078125  22.8969  8
0.0234375  22.0203  24
0.0390625  20.2239  104
0.0546875  18.0052  144
0.0703125  15.6048  272
0.0859375  13.1924  360
0.101562  10.8603  560
0.117188  8.76195  704
0.132812  7.02786  936
0.148438  5.6129  1112
0.164062  4.51739  1392
0.179688  3.67702  1592
0.195312  3.01483  2120
0.210938  2.51336  2208
0.226562  2.1453  2792
0.242188  1.86812  2928
0.257812  1.65678  3416
0.273438  1.49011  3792
0.289062  1.36349  4304
0.304688  1.25296  4784
0.320312  1.16554  5472
0.335938  1.09445  5696
0.351562  1.03008  6384
0.367188  0.984031  6752
0.382812  0.933627  7896
0.398438  0.895428  8072
0.414062  0.85956  8888
0.429688  0.826846  9384
0.445312  0.80005  10112
0.460938  0.771047  10896
0.476562  0.753261  11696
0.492188  0.731147  12576
