# step = 125, time = 0.0125
# r  rho_avg  count
0.0078125  1.3441  8
0.0234375  1.34051  24
0.0390625  1.33412  104
0.0546875  1.32792  144
0.0703125  1.32315  272
0.0859375  1.31998  360
0.101562  1.31809  560
0.117188  1.31568  704
0.132812  1.31288  936
0.148438  1.30803  1112
0.164062  1.30133  1392
0.179688  1.29255  1592
0.195312  1.28134  2120
0.210938  1.26738  2208
0.226562  1.25177  2792
0.242188  1.23383  2928
0.257812  1.21402  3416
0.273438  1.19184  3792
0.289062  1.1681  4304
0.304688  1.14035  4784
0.320312  1.11208  5472
0.335938  1.08264  5696
0.351562  1.05418  6384
0.367188  1.02839  6752
0.382812  1.00505  7896
0.398438  0.985529  8072
0.414062  0.970777  8888
0.429688  0.96017  9384
0.445312  0.952015  10112
0.460938  0.947831  10896
0.476562  0.944573  11696
0.492188  0.943122  12576
