# step = 75, time = 0.0075
# r  rho_avg  count
0.0078125  1.36999  8
0.0234375  1.37213  24
0.0390625  1.37609  104
0.0546875  1.38022  144
0.0703125  1.38346  272
0.0859375  1.38482  360
0.101562  1.38262  560
0.117188  1.37563  704
0.132812  1.36244  936
0.148438  1.34332  1112
0.164062  1.31866  1392
0.179688  1.28919  1592
0.195312  1.25433  2120
0.210938  1.21741  2208
0.226562  1.18016  2792
0.242188  1.14515  2928
0.257812  1.11473  3416
0.273438  1.08893  3792
0.289062  1.06864  4304
0.304688  1.05325  4784
0.320312  1.04114  5472
0.335938  1.03096  5696
0.351562  1.02133  6384
0.367188  1.01013  6752
0.382812  0.997369  7896
0.398438  0.983614  8072
0.414062  0.970703  8888
0.429688  0.959931  9384
0.445312  0.95297  10112
0.460938  0.949767  10896
0.476562  0.950351  11696
0.492188  0.952889  12576
