# step = 325, time = 0.0325
# r  rho_avg  count
0.0078125  6.64209  8
0.0234375  6.52869  24
0.0390625  6.28725  104
0.0546875  5.97317  144
0.0703125  5.60625  272
0.0859375  5.2039  360
0.101562  4.76777  560
0.117188  4.32109  704
0.132812  3.89676  936
0.148438  3.49386  1112
0.164062  3.13285  1392
0.179688  2.81153  1592
0.195312  2.51893  2120
0.210938  2.26051  2208
0.226562  2.04426  2792
0.242188  1.86012  2928
0.257812  1.70481  3416
0.273438  1.57153  3792
0.289062  1.45926  4304
0.304688  1.3608  4784
0.320312  1.27388  5472
0.335938  1.19874  5696
0.351562  1.13147  6384
0.367188  1.07534  6752
0.382812  1.02143  7896
0.398438  0.97801  8072
0.414062  0.941505  8888
0.429688  0.91016  9384
0.445312  0.884773  10112
0.460938  0.861677  10896
0.476562  0.844704  11696
0.492188  0.827192  12576
