# step = 475, time = 0.0475
# r  rho_avg  count
0.0078125  857.227  8
0.0234375  599.605  24
0.0390625  299.764  104
0.0546875  122.428  144
0.0703125  49.8459  272
0.0859375  21.4338  360
0.101562  10.0085  560
0.117188  4.18536  704
0.132812  1.36841  936
0.148438  1.09916  1112
0.164062  2.69014  1392
0.179688  4.77746  1592
0.195312  5.85236  2120
0.210938  5.19292  2208
0.226562  3.34416  2792
0.242188  1.47223  2928
0.257812  0.478048  3416
0.273438  0.404243  3792
0.289062  0.772234  4304
0.304688  1.01371  4784
0.320312  0.961745  5472
0.335938  0.776661  5696
0.351562  0.637031  6384
0.367188  0.613967  6752
0.382812  0.606682  7896
0.398438  0.600146  8072
0.414062  0.575033  8888
0.429688  0.547187  9384
0.445312  0.529881  10112
0.460938  0.511161  10896
0.476562  0.502089  11696
0.492188  0.484839  12576
