# step = 250, time = 0.025
# r  rho_avg  count
0.0078125  2.35712  8
0.0234375  2.348  24
0.0390625  2.3284  104
0.0546875  2.30189  144
0.0703125  2.26867  272
0.0859375  2.22879  360
0.101562  2.17996  560
0.117188  2.12249  704
0.132812  2.05724  936
0.148438  1.98497  1112
0.164062  1.90868  1392
0.179688  1.82951  1592
0.195312  1.74817  2120
0.210938  1.66659  2208
0.226562  1.59008  2792
0.242188  1.51878  2928
0.257812  1.45219  3416
0.273438  1.38912  3792
0.289062  1.33094  4304
0.304688  1.27855  4784
0.320312  1.2274  5472
0.335938  1.18029  5696
0.351562  1.13806  6384
0.367188  1.09773  6752
0.382812  1.06053  7896
0.398438  1.02664  8072
0.414062  0.996996  8888
0.429688  0.970301  9384
0.445312  0.947641  10112
0.460938  0.927435  10896
0.476562  0.91039  11696
0.492188  0.895146  12576
