# step = 150, time = 0.015
# r  rho_avg  count
0.0078125  1.42338  8
0.0234375  1.4204  24
0.0390625  1.4136  104
0.0546875  1.40449  144
0.0703125  1.39349  272
0.0859375  1.38181  360
0.101562  1.37043  560
0.117188  1.35943  704
0.132812  1.35123  936
0.148438  1.34284  1112
0.164062  1.33429  1392
0.179688  1.32592  1592
0.195312  1.31335  2120
0.210938  1.29886  2208
0.226562  1.28211  2792
0.242188  1.26359  2928
0.257812  1.24277  3416
0.273438  1.22048  3792
0.289062  1.19478  4304
0.304688  1.16971  4784
0.320312  1.14057  5472
0.335938  1.11277  5696
0.351562  1.087  6384
0.367188  1.05947  6752
0.382812  1.03472  7896
0.398438  1.00986  8072
0.414062  0.988336  8888
0.429688  0.968492  9384
0.445312  0.952279  10112
0.460938  0.93963  10896
0.476562  0.92899  11696
0.492188  0.92159  12576
