# step = 300, time = 0.03
# r  rho_avg  count
0.0078125  4.38461  8
0.0234375  4.33636  24
0.0390625  4.23222  104
0.0546875  4.0933  144
0.0703125  3.9242  272
0.0859375  3.7296  360
0.101562  3.5074  560
0.117188  3.26984  704
0.132812  3.03347  936
0.148438  2.80334  1112
0.164062  2.58947  1392
0.179688  2.38981  1592
0.195312  2.2015  2120
0.210938  2.03072  2208
0.226562  1.87834  2792
0.242188  1.74272  2928
0.257812  1.62474  3416
0.273438  1.51802  3792
0.289062  1.42454  4304
0.304688  1.33802  4784
0.320312  1.26374  5472
0.335938  1.19886  5696
0.351562  1.14126  6384
0.367188  1.09297  6752
0.382812  1.04709  7896
0.398438  1.00824  8072
0.414062  0.973437  8888
0.429688  0.943337  9384
0.445312  0.917848  10112
0.460938  0.892544  10896
0.476562  0.874117  11696
0.492188  0.855188  12576
