# step = 275, time = 0.0275
# r  rho_avg  count
0.0078125  3.17263  8
0.0234375  3.14744  24
0.0390625  3.09229  104
0.0546875  3.01785  144
0.0703125  2.92588  272
0.0859375  2.81969  360
0.101562  2.69963  560
0.117188  2.56927  704
0.132812  2.44152  936
0.148438  2.31268  1112
0.164062  2.18865  1392
0.179688  2.07184  1592
0.195312  1.95087  2120
0.210938  1.83982  2208
0.226562  1.73129  2792
0.242188  1.63018  2928
0.257812  1.53939  3416
0.273438  1.45407  3792
0.289062  1.37696  4304
0.304688  1.305  4784
0.320312  1.24216  5472
0.335938  1.18596  5696
0.351562  1.13741  6384
0.367188  1.09527  6752
0.382812  1.0563  7896
0.398438  1.02191  8072
0.414062  0.990687  8888
0.429688  0.963425  9384
0.445312  0.939701  10112
0.460938  0.916304  10896
0.476562  0.898365  11696
0.492188  0.880731  12576
