# step = 200, time = 0.02
# r  rho_avg  count
0.0078125  1.71295  8
0.0234375  1.71006  24
0.0390625  1.70276  104
0.0546875  1.69118  144
0.0703125  1.67431  272
0.0859375  1.65254  360
0.101562  1.62588  560
0.117188  1.5973  704
0.132812  1.5684  936
0.148438  1.54057  1112
0.164062  1.51363  1392
0.179688  1.48515  1592
0.195312  1.45533  2120
0.210938  1.42513  2208
0.226562  1.39216  2792
0.242188  1.35835  2928
0.257812  1.32573  3416
0.273438  1.2911  3792
0.289062  1.25741  4304
0.304688  1.2207  4784
0.320312  1.18772  5472
0.335938  1.1539  5696
0.351562  1.1222  6384
0.367188  1.09109  6752
0.382812  1.06091  7896
0.398438  1.03202  8072
0.414062  1.00551  8888
0.429688  0.981153  9384
0.445312  0.959219  10112
0.460938  0.940391  10896
0.476562  0.923162  11696
0.492188  0.909351  12576
