# FPA nu sweep results
# nu = 0.0005
# N = 64, L_phys = 32 Mpc/h
# k_Nyquist = 201.062
# s_max = 0.0108717
# max|grad(theta)|/k_Nyq = 0.108143
# Phase resolvable: YES
# psi_hat low-k power = 99.8501%
#
# D   FPA_rms   ZA_rms   FPA_ZA_corr   mass_FPA   mass_ZA
1  0.112422  0  -nan  1  1
5  0.28156  0.386531  0.581267  1  1
15  0.655691  1.54585  0.437611  1  1
25  0.946952  1.91179  0.516813  1  1
34  1.15313  1.82522  0.639717  1  1
